date and time,p,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
31-Jul-2024 09:52:33,1,0,-0,0,0,-0,0,1
31-Jul-2024 09:52:37,2,0,-0,0,0,-0,0,1
31-Jul-2024 09:52:42,3,0,-0,0,0,-0,0,1
31-Jul-2024 09:52:46,4,0,-0,0,0,-0,0,1
31-Jul-2024 09:52:51,5,0,-0,0,0,-0,0,1
31-Jul-2024 09:52:55,6,0,-0,0,0,-0,0,1
31-Jul-2024 09:52:59,7,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:03,8,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:08,9,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:12,10,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:16,11,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:20,12,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:24,13,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:28,14,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:32,15,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:36,16,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:40,17,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:44,18,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:48,19,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:52,20,0,-0,0,0,-0,0,1
31-Jul-2024 09:53:56,21,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:00,22,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:04,23,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:08,24,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:12,25,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:16,26,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:21,27,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:25,28,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:29,29,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:33,30,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:37,31,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:41,32,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:45,33,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:49,34,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:53,35,0,-0,0,0,-0,0,1
31-Jul-2024 09:54:57,36,0,-0,0,0,-0,0,1
31-Jul-2024 09:55:01,37,0,-0,0,0,-0,0,1
31-Jul-2024 09:55:05,38,0,-0,0,0,-0,0,1
31-Jul-2024 09:55:09,39,0,-0,0,0,-0,0,1
31-Jul-2024 09:55:13,40,0,-0,0,0,-0,0,1
31-Jul-2024 09:55:17,41,0,-0,0,0,-0,0,1
