Format Version,1.24,Take Name,Take 2025-04-01 01.55.23 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-01 01.55.23.678 PM,Capture Start Frame,6940146,Total Frames in Take,8758,Total Exported Frames,8758,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.000122,0.024032,-0.004241,0.999702,0.475093,312.531738,42.036289,92.383148,310.076141,82.676468,100.685951,310.683868,34.755699,-55.838013,315.502777,-41.381969,-9.242999,314.575745,-57.970375,-43.544987,311.257355,132.995193,-81.592880,313.094574,101.142570,92.392761,309.966217,82.698334,100.658150,310.811371,34.632854,-55.848824,315.487976,-41.282043,-9.159588,314.547272,-57.927608,-43.580917,311.251282,132.999588,-81.610069,313.132233,101.090492,-439.767334,12.246347,-462.517273,-449.556335,12.925067,-426.192291,-394.122070,14.441573,-408.190216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,0.000122,0.024033,-0.004242,0.999702,0.477576,312.534760,42.037006,92.385704,310.078949,82.677010,100.688416,310.686615,34.756226,-55.835686,315.505859,-41.381138,-9.240704,314.578674,-57.969643,-43.542332,311.260559,132.995987,-81.590286,313.097870,101.143448,92.398277,309.966248,82.696358,100.659729,310.817444,34.633347,-55.844872,315.490082,-41.280426,-9.157329,314.549988,-57.926678,-43.580452,311.253296,133.002289,-81.608925,313.137665,101.090721,-439.766815,12.244497,-462.517120,-449.555542,12.915661,-426.193878,-394.118256,14.443526,-408.190094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,0.000121,0.024031,-0.004238,0.999702,0.475945,312.536499,42.036964,92.383934,310.081573,82.677315,100.686829,310.689270,34.756557,-55.837036,315.507019,-41.381397,-9.241985,314.580231,-57.969719,-43.544289,311.262054,132.995789,-81.592140,313.098969,101.143105,92.394547,309.972534,82.698891,100.658752,310.815308,34.633579,-55.847366,315.492157,-41.281025,-9.159981,314.552277,-57.926777,-43.581348,311.257019,133.000870,-81.610382,313.135010,101.089775,-439.764893,12.254107,-462.511505,-449.554718,12.928964,-426.192200,-394.120056,14.446432,-408.189026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.000125,0.024035,-0.004233,0.999702,0.477485,312.532562,42.036461,92.385773,310.078156,82.676163,100.688339,310.686340,34.755360,-55.836086,315.503296,-41.381489,-9.241139,314.577118,-57.970131,-43.542122,311.256866,132.995575,-81.590202,313.093689,101.143166,92.397148,309.968414,82.696548,100.660721,310.813538,34.632610,-55.846054,315.488770,-41.282036,-9.158134,314.548584,-57.926376,-43.578903,311.250977,133.001373,-81.608795,313.131042,101.090393,-439.767609,12.242102,-462.517517,-449.555603,12.916632,-426.196625,-394.119598,14.441114,-408.190216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,0.000117,0.024035,-0.004236,0.999702,0.477385,312.535858,42.037746,92.385750,310.081696,82.677322,100.688217,310.688995,34.756481,-55.836334,315.505402,-41.380146,-9.241424,314.578674,-57.968868,-43.542049,311.261963,132.996979,-81.590179,313.098419,101.144600,92.397308,309.972870,82.697853,100.661331,310.816040,34.635075,-55.847767,315.490814,-41.281502,-9.158252,314.551483,-57.926853,-43.579216,311.257385,133.004669,-81.609100,313.136505,101.092117,-439.768860,12.246248,-462.516235,-449.551758,12.932798,-426.194519,-394.120667,14.446294,-408.189575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,0.000117,0.024033,-0.004246,0.999702,0.476833,312.529968,42.036476,92.384956,310.073883,82.676453,100.687653,310.681030,34.755653,-55.836452,315.500671,-41.381668,-9.241489,314.572968,-57.970184,-43.543030,311.257050,132.995499,-81.590988,313.094330,101.142960,92.396873,309.963654,82.695366,100.660965,310.808441,34.634399,-55.845940,315.486237,-41.282307,-9.159353,314.544403,-57.927052,-43.580421,311.251740,133.002136,-81.610016,313.131226,101.090164,-439.768982,12.243721,-462.518768,-449.555634,12.927526,-426.193817,-394.120728,14.439047,-408.190887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.000128,0.024038,-0.004241,0.999702,0.475752,312.535553,42.037239,92.384308,310.079559,82.676247,100.686523,310.687836,34.755383,-55.838390,315.507538,-41.380283,-9.243585,314.580719,-57.969276,-43.543198,311.260071,132.996674,-81.591492,313.097656,101.144554,92.394966,309.968536,82.695816,100.658943,310.816742,34.633270,-55.848961,315.493286,-41.280643,-9.159716,314.551361,-57.926174,-43.579659,311.253845,133.003555,-81.609993,313.135620,101.091278,-439.765533,12.252264,-462.513458,-449.553711,12.931929,-426.188904,-394.116302,14.453541,-408.185699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,0.000131,0.024038,-0.004251,0.999702,0.476351,312.533356,42.036694,92.384857,310.075195,82.675697,100.687088,310.683594,34.754833,-55.837730,315.506989,-41.380810,-9.242938,314.579315,-57.969810,-43.542629,311.258270,132.996109,-81.590874,313.096802,101.143997,92.395020,309.963470,82.696114,100.659485,310.810089,34.631924,-55.848389,315.489441,-41.281593,-9.157987,314.552002,-57.926651,-43.578247,311.252197,133.001358,-81.609718,313.134216,101.092056,-439.765900,12.249270,-462.516357,-449.554718,12.928405,-426.193176,-394.122192,14.437263,-408.189972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,0.000115,0.024040,-0.004236,0.999702,0.477091,312.532532,42.036911,92.385841,310.078461,82.675606,100.687843,310.685638,34.754688,-55.837425,315.501801,-41.380455,-9.242675,314.575012,-57.969620,-43.541473,311.259003,132.996552,-81.589912,313.095367,101.144547,92.396790,309.965851,82.695480,100.660179,310.815002,34.632004,-55.848228,315.483429,-41.280109,-9.158407,314.549408,-57.926971,-43.578743,311.253082,133.002975,-81.608047,313.134338,101.091774,-439.767151,12.248555,-462.515167,-449.555084,12.927916,-426.193878,-394.118011,14.446066,-408.187073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,0.000115,0.024042,-0.004247,0.999702,0.475698,312.531769,42.037441,92.384575,310.075745,82.675735,100.686378,310.682709,34.754780,-55.839127,315.502289,-41.379677,-9.244466,314.574524,-57.969040,-43.542492,311.259094,132.997269,-81.591034,313.096313,101.145439,92.394577,309.961517,82.694801,100.659973,310.812531,34.631943,-55.849361,315.486572,-41.280949,-9.160987,314.547180,-57.924366,-43.579231,311.254547,133.003830,-81.610817,313.133636,101.093102,-439.768738,12.247029,-462.516144,-449.554230,12.923936,-426.196655,-394.118042,14.443206,-408.189514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
