Format Version,1.24,Take Name,Take 2025-04-01 03.40.19 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-01 03.40.19.612 PM,Capture Start Frame,7695711,Total Frames in Take,5595,Total Exported Frames,5595,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.005296,0.142004,0.016073,0.989721,19.738613,350.602722,33.563572,118.634483,352.330963,51.490231,115.435448,352.613525,2.957849,-54.639637,350.212341,-34.306313,-13.236897,350.899780,-61.370502,-1.631508,348.829895,132.321304,-46.130577,348.729797,110.288826,118.780540,352.240265,51.558224,115.513245,352.652405,2.866798,-54.666355,350.178223,-34.367424,-13.337858,350.959564,-61.517601,-1.741328,348.997986,132.585480,-46.130180,348.614563,110.294014,-427.164307,-3.127361,-510.465515,-449.243683,12.281444,-487.285339,-320.539734,-1.821307,-450.074738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.005144,0.142039,0.016135,0.989716,19.746241,350.586548,33.552418,118.643326,352.316895,51.472118,115.440590,352.614655,2.940070,-54.637138,350.211823,-34.311947,-13.236501,350.911133,-61.379055,-1.616243,348.780670,132.311188,-46.116974,348.684052,110.282082,118.777374,352.241180,51.558811,115.510414,352.653015,2.865158,-54.669563,350.175995,-34.371700,-13.340935,350.959595,-61.520119,-1.664539,348.873840,132.497223,-46.132496,348.614532,110.290787,-427.165527,-3.123758,-510.466217,-449.247681,12.285128,-487.287018,-320.536804,-1.811238,-450.074188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.005307,0.141998,0.016079,0.989722,19.738239,350.601349,33.562309,118.633858,352.331512,51.490150,115.435425,352.613098,2.957722,-54.639168,350.208374,-34.308487,-13.236104,350.895905,-61.372185,-1.633069,348.830231,132.319809,-46.131863,348.728943,110.286797,118.777786,352.241333,51.560005,115.512688,352.651520,2.868077,-54.666103,350.173828,-34.369846,-13.337871,350.956024,-61.518867,-1.738669,348.996704,132.579132,-46.131405,348.614655,110.291847,-427.166138,-3.136791,-510.472046,-449.245209,12.279703,-487.289154,-320.537354,-1.822911,-450.075836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.005304,0.141996,0.016090,0.989722,19.734505,350.601898,33.562706,118.630020,352.333801,51.490940,115.431755,352.615814,2.958503,-54.642635,350.208191,-34.308380,-13.239481,350.896851,-61.371906,-1.637146,348.829346,132.320099,-46.135853,348.727478,110.286911,118.777435,352.243439,51.560310,115.509834,352.653198,2.866037,-54.669434,350.170837,-34.371536,-13.342143,350.960449,-61.519558,-1.749358,348.998505,132.588699,-46.133732,348.612518,110.291504,-427.164032,-3.125805,-510.466217,-449.246368,12.289631,-487.284149,-320.535339,-1.806744,-450.070587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.005298,0.141996,0.016087,0.989722,19.735706,350.600342,33.561779,118.631241,352.331482,51.489994,115.432961,352.613953,2.957556,-54.641457,350.207703,-34.309288,-13.238313,350.896362,-61.372822,-1.635918,348.826935,132.319168,-46.134636,348.725525,110.285995,118.777084,352.242767,51.559208,115.512047,352.651428,2.865757,-54.669216,350.174194,-34.370552,-13.340002,350.955750,-61.520641,-1.746270,348.993774,132.585297,-46.133266,348.610962,110.289970,-427.165070,-3.127087,-510.467834,-449.249420,12.274093,-487.290588,-320.537994,-1.818469,-450.074188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.005299,0.141996,0.016083,0.989722,19.736465,350.600769,33.561867,118.632004,352.331116,51.490158,115.433769,352.613464,2.957720,-54.640656,350.208649,-34.309258,-13.237476,350.896820,-61.372761,-1.635257,348.827911,132.319244,-46.133953,348.726807,110.286041,118.779404,352.240326,51.560349,115.512344,352.652344,2.865635,-54.667454,350.173950,-34.372971,-13.340727,350.957306,-61.519146,-1.744686,348.996307,132.584717,-46.133747,348.612152,110.291573,-427.164886,-3.135389,-510.471100,-449.245605,12.280872,-487.287415,-320.536987,-1.816812,-450.074982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.005130,0.142037,0.016144,0.989716,19.745518,350.587097,33.551743,118.642525,352.318390,51.471828,115.439934,352.617554,2.939777,-54.637623,350.213379,-34.312885,-13.236906,350.914124,-61.379837,-1.617273,348.777893,132.310394,-46.117928,348.681305,110.281113,118.776573,352.245209,51.559868,115.509636,352.654877,2.866955,-54.669514,350.177460,-34.371151,-13.341906,350.962280,-61.518970,-1.668355,348.876923,132.497284,-46.135231,348.616913,110.290497,-427.164917,-3.119380,-510.465393,-449.246552,12.290220,-487.287445,-320.536316,-1.808300,-450.073883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.005304,0.141999,0.016089,0.989722,19.737526,350.597321,33.560303,118.633141,352.329193,51.487984,115.434608,352.611176,2.955561,-54.639996,350.203644,-34.310368,-13.236996,350.892242,-61.374123,-1.633572,348.824768,132.317825,-46.132401,348.722900,110.284882,118.778145,352.239014,51.558701,115.512466,352.649902,2.865021,-54.667629,350.169617,-34.372948,-13.338934,350.951569,-61.520779,-1.738410,348.990814,132.578217,-46.133148,348.608887,110.290367,-427.165649,-3.137401,-510.472351,-449.246796,12.279284,-487.290070,-320.537659,-1.825716,-450.077881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.005303,0.141992,0.016075,0.989723,19.733250,350.606842,33.563713,118.628654,352.335999,51.492825,115.430832,352.617889,2.960358,-54.643295,350.215027,-34.308037,-13.239882,350.902374,-61.371197,-1.639331,348.835205,132.320923,-46.137848,348.734497,110.287338,118.775841,352.245117,51.560440,115.509605,352.657623,2.868045,-54.669956,350.182220,-34.370464,-13.343328,350.966400,-61.518517,-1.750911,349.001343,132.587784,-46.134743,348.616516,110.291679,-427.162659,-3.111447,-510.460022,-449.243378,12.295158,-487.281647,-320.534546,-1.801746,-450.069153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.005302,0.141996,0.016091,0.989722,19.736444,350.596741,33.561550,118.631935,352.328827,51.489902,115.433731,352.611023,2.957459,-54.640621,350.203125,-34.309620,-13.237441,350.891998,-61.373100,-1.635309,348.823639,132.318909,-46.133987,348.721710,110.285675,118.778763,352.235413,51.559372,115.512169,352.652344,2.866473,-54.667995,350.167145,-34.373009,-13.340627,350.952606,-61.520329,-1.745726,348.990845,132.585464,-46.131695,348.608704,110.289894,-427.165985,-3.138028,-510.474792,-449.250153,12.271044,-487.293762,-320.537506,-1.828557,-450.078339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
