date and time,p,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
05-Aug-2024 10:31:19,1,-0.0174304537475109,-0.000169687848635173,0.246132356921832,-0.0160476286585132,-0.00921555707852046,0.00233192172211905,0.999825417995453
05-Aug-2024 10:31:24,2,-0.0167954992502928,-0.00212311723735183,0.246088267366091,-0.0177985829611619,-0.0100712139780323,0.00215810400744279,0.999788471062978
05-Aug-2024 10:31:28,3,-0.00161440724041313,-0.00213863002912452,0.246689479549726,-0.0170769434422255,-0.0188311402996381,0.0024280792567879,0.999673827489217
05-Aug-2024 10:31:33,4,0.0118567905699213,-0.0142939386268457,0.251351606845856,-0.0225620562831561,-0.0281302167723576,0.00190267199650407,0.99934735695521
05-Aug-2024 10:31:37,5,0.0194808439662059,-0.0153302206347386,0.257189687093099,-0.0195835365603367,-0.0290815168370803,-6.22515886448127e-05,0.999385050932566
05-Aug-2024 10:31:42,6,0.0270027168095112,-0.0182333718985319,0.263042650620143,-0.0187460456043482,-0.0319747351109982,-0.000297940448702623,0.999312746524811
05-Aug-2024 10:31:46,7,0.0320193642129501,-0.0199238645533721,0.26807364821434,-0.0167767806599538,-0.0315554128338893,-0.000483709300169721,0.999360966682434
05-Aug-2024 10:31:50,8,0.0357582442462444,-0.017274992292126,0.272279753287633,-0.0103885801509023,-0.0260541241616011,-3.79987856528411e-05,0.99960640668869
05-Aug-2024 10:31:54,9,0.0415542306999366,-0.0176261304567258,0.276218223571777,-0.00926624598602454,-0.0278175095717112,-0.000109154179275113,0.999569813410441
05-Aug-2024 10:31:58,10,0.0445185363292694,-0.0166189577430487,0.279605444272359,-0.00604560219993194,-0.0252770865956942,-0.000142043782398105,0.999662144978841
05-Aug-2024 10:32:03,11,0.0473466038703918,-0.014004641585052,0.282373217741648,-0.00321438601240516,-0.0252959114809831,-0.000364900090304824,0.999674701690674
05-Aug-2024 10:32:07,12,0.0511800010999044,-0.0120402096460263,0.2847849269708,-0.00282363365404308,-0.0277260495970647,-0.00015699046877368,0.99961154460907
05-Aug-2024 10:32:11,13,0.0516652854780356,-0.00967000691841046,0.28659624059995,-0.00295598250813782,-0.0258512591322263,-0.000343099747745631,0.999661310513814
05-Aug-2024 10:32:15,14,0.053625213354826,-0.00719843618571758,0.288189125061035,-0.0015169941005297,-0.0250194041679303,-0.00054934165867356,0.999685565630595
05-Aug-2024 10:32:19,15,0.0559972673654556,-0.00449972267573078,0.289609318971634,0.000583672932892417,-0.025543117771546,-0.000844806475409617,0.999673159917196
05-Aug-2024 10:32:24,16,0.0554348429044088,0.000431036640172048,0.290191340446472,0.00191131668786208,-0.0240441812823216,-0.00172467938003441,0.999707559744517
05-Aug-2024 10:32:28,17,0.0558374310533206,0.00481792173037926,0.291002811988195,0.00378538373236855,-0.0238405988862117,-0.0024270625008891,0.999705592791239
05-Aug-2024 10:32:33,18,0.0574833999077479,0.00726156464467446,0.291673715909322,0.00627095761398474,-0.0254279438406229,-0.00253495823902388,0.999653546015422
05-Aug-2024 10:32:37,19,0.056081810593605,0.0107512474060059,0.291715874274572,0.00970872721324364,-0.0241529384007057,-0.00259982012212276,0.999657758076986
05-Aug-2024 10:32:42,20,0.056049266209205,0.0132289226477345,0.291905063390732,0.0115035597234964,-0.0240309411038955,-0.00277540249129136,0.999641180038452
05-Aug-2024 10:32:46,21,0.0561002743740876,0.0161002402504285,0.292135606209437,0.0128222754225135,-0.023425788556536,-0.0027521876928707,0.9996395667394
05-Aug-2024 10:32:51,22,0.055022535721461,0.0196186725050211,0.2921666264534,0.013466340303421,-0.0230787217617035,-0.00298009524121881,0.999638509750366
