date and time,Trajectory,Waypoint,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
27-Jan-2025 15:03:36,55,1,0.00196072945836931,0.323861755927404,0.0427562097708384,-0.00406092188010613,-0.00617733740558227,-0.00359970085943739,0.999966224034627,-9.675,-18.2999999999999,-5.40000000000001,-8.70000000000001,-14.7749999999999,-6.30000000000001,-8.77500000000001,-8.55000000000001,-10.2
27-Jan-2025 15:03:49,278,2,0.0111035029093424,0.326453290383021,0.0437294592459997,-0.00301032300728063,-0.002512452720354,0.0211595560113589,0.999768443902334,-8.71373929347039,-17.6133852096216,-4.98803112577303,-9.47315494484289,-15.3803368077734,-6.5340082884487,-15.1643327940997,-15.6284814045092,-13.6705780802519
27-Jan-2025 15:04:29,207,3,0.00865920769671599,0.330922853946686,0.0342608879009883,0.0391321703791618,-0.00269679782601694,0.0265326271454493,0.998878117402395,-8.04551611570457,-22.166440082646,-7.67486404958769,-20.771303381939,-23.891066045009,-16.2059329397016,-19.1758907181679,-19.7523100181237,-17.7177940644785
27-Jan-2025 15:04:42,218,4,0.00927761979401112,0.337601288159688,0.0340914592146873,0.070823460817337,-0.00569305618604024,0.0592633989950021,0.99571057955424,-8.97273151223242,-22.8287367944516,-8.07224207667105,-29.9396519955757,-21.1626067130183,-14.9079336835033,-32.560096503805,-19.6248655349635,-17.7203008749729
27-Jan-2025 15:05:34,324,5,0.00207156073302031,0.343843760093053,0.0502617180347443,-0.135652087132136,-0.00815619298567375,0.0210560640941064,0.990499214331309,-45.7340329705243,-30.5756225368232,-12.8217787953731,-9.01318719183812,-24.6710265655985,-13.7038659393592,-36.6322969930304,-18.9977453927855,-15.2078317327576
27-Jan-2025 15:05:47,318,6,-0.00877147316932678,0.352595307429632,0.0278350355724494,-0.0104420695453882,-0.00734008243307471,0.0290127052615086,0.999497548739115,-36.5648361206841,-38.3124377572565,-17.4704901813503,-34.7790701488535,-52.2629224087092,-28.2801155647118,-43.4849008462851,-22.7426454883841,-17.8605872930304
27-Jan-2025 15:06:39,201,7,0.000723147997632623,0.352453166246414,0.036021410425504,0.136744457483292,0.00274045285768807,-0.0884096905589104,0.986649493376414,-28.8714248650671,-39.3481237761081,-19.7946075298899,-62.0941979203077,-34.6462586863318,-19.0983802117986,-22.0857823077603,-34.6156096218173,-24.7783355942005
27-Jan-2025 15:06:52,111,8,-0.0486099980771542,0.35279944340388,0.0528216041624546,-0.0674243062734604,0.0191848022242387,-0.119591422379017,0.990345243612925,-54.2372906424861,-73.3104782641884,-38.0738834775808,-29.1786778588004,-58.2674783963565,-32.2070887704616,-10.9826878171968,-8.56129486942627,-13.0492769216557
27-Jan-2025 15:07:18,48,9,0.0489315661291281,0.340636169910431,0.0501404670377572,-0.0420197693010171,0.00892586677024762,0.258398566643397,0.965082840124766,-3.18463610085775,-13.7872281503009,-6.02749184438311,2.25408592068405,-10.0092674602999,-5.19087297617967,-65.3808687225815,-47.4634140662552,-27.7030699438163
27-Jan-2025 15:07:31,355,10,0.00518821490307649,0.355395181973775,0.0559980809688568,-0.0893635953466097,-0.00380381151723365,-0.00071275137597695,0.995991591612498,-52.6883625115914,-42.0600485145274,-20.70172406675,-27.5585422393261,-16.8054391896976,-9.12678088113219,-41.1902512618172,-39.2996085550293,-24.158989228457
27-Jan-2025 15:08:26,389,11,-0.0100577107320229,0.352460122108459,0.039276796579361,-0.0179390471428633,0.00294486441028615,-0.180809555451075,0.983350145816803,-58.6604506739762,-7.02693712184402,-4.06860769090816,-48.0625004680116,-28.3117248178348,-17.9746911407004,-11.2247015554139,-21.0958167213862,-14.4217826321353
27-Jan-2025 15:08:40,378,12,0.0276517268270254,0.359468638896942,0.0249831472833951,0.033896795163552,-0.0313860580325127,0.287236559391022,0.956744543711344,-5.70368148103663,-3.57831544227932,-2.21952730241162,-28.8793266211636,-46.6780767836522,-27.033097574895,-87.0813664231348,-39.7048325125832,-23.6015209790196
