date and time,Trajectory,Waypoint,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
09-Nov-2024 16:34:04,1,1,-0.0194985268016656,0.31326113541921,0.00747524596129855,0.00141166619335612,-0.00264226727498074,0.0161622531712055,0.999864943822225,-6.60000000000001,-13.425,-6.07500000000001,-9.375,-11.25,-7.27500000000001,-10.2,-8.62500000000001,-11.025
09-Nov-2024 16:34:18,1,2,-0.0213127904882034,0.316207885742188,0.0110904107491175,-0.0122468955193957,-0.00214244091572861,0.0284856102118889,0.999516900380452,-11.1163297032551,-18.6072018332192,-8.66175353035402,-9.31416761431685,-11.2065482959406,-7.24892897756437,-16.7571808703127,-8.71123921658478,-11.0637703647188
09-Nov-2024 16:35:00,1,3,-0.0210717746367057,0.324666172266006,0.0109531234328945,-0.0251979128768047,0.0011632561761265,0.036133058120807,0.999028611183167,-21.8576594065101,-24.8769036664384,-12.561007060708,-14.9908352286336,-18.2130965918811,-10.8603579551287,-26.4643617406254,-13.2599784331695,-15.4150407294375
09-Nov-2024 16:35:14,1,4,-0.0232151202857494,0.328021812438965,0.0151808672274152,-0.0418277392784754,0.00343282182390491,0.0544499009847641,0.997634144624074,-26.3739891097651,-30.0591054996576,-15.147760591062,-14.9300028429505,-18.1696448878217,-10.8342869326931,-33.0215426109381,-13.3462176497543,-15.4538110941563
09-Nov-2024 16:35:58,1,5,-0.0228649376581113,0.334426299730937,0.0159205665191015,-0.0652436450123787,0.00655267499387264,0.0623764102657636,0.995896375179291,-35.0528188130201,-36.9100573328768,-19.140764121416,-16.3129204572673,-22.1011931837622,-17.2019659102574,-40.4787234812508,-20.088706866339,-15.8488314588751
09-Nov-2024 16:36:11,1,6,-0.0248400870710611,0.338124910990397,0.021522215132912,-0.0816640476385752,0.0109323809544245,0.080000406006972,0.993383856614431,-39.5691485162751,-42.092259166096,-21.7275176517701,-16.2520880715841,-22.0577414797029,-17.1758948878217,-47.0359043515636,-20.1749460829237,-15.8876018235939
09-Nov-2024 16:37:01,1,7,-0.0255337931215763,0.34397828578949,0.0241193827241659,-0.124097672104836,0.0143812688067555,0.0882045725981394,0.988237241903941,-50.0667282195301,-48.7088359993152,-30.192396182124,-15.563130685901,-30.0017897756434,-20.571698865386,-54.1930852218763,-26.2143102995084,-18.7294971883126
09-Nov-2024 16:37:15,1,8,-0.0268699503193299,0.347571760416031,0.0285548639794191,-0.13898784716924,0.0187038442740838,0.106092472871145,0.984417080879211,-54.5830579227852,-53.8910378325344,-32.779149712478,-15.5022983002178,-29.958338071584,-20.5456278429504,-60.750266092189,-26.3005495160932,-18.7682675530314
09-Nov-2024 16:38:06,1,9,-0.0249886681636175,0.351860211292903,0.0278341154257456,-0.137361696362495,0.0188760783523321,0.0946491986513138,0.985807820161184,-59.3900126260402,-59.1904271657536,-37.704965742832,-19.8524034145346,-33.8336363675246,-22.9054943205147,-63.8574469625017,-32.8883512326779,-21.9336004177502
09-Nov-2024 16:38:19,1,10,-0.0295138095815976,0.353889109690984,0.0242934947212537,-0.137976931532224,0.0175985675305128,0.0714762692650159,0.987696234385173,-64.0086235896997,-56.9854682261159,-36.6712561898595,-23.4776877685495,-38.0713428935425,-25.09311750037,-58.76054579311,-33.4030748647142,-22.2597321506147
09-Nov-2024 16:39:06,1,11,-0.0287534333765507,0.354348695278168,0.024916086345911,-0.150756181279818,0.0128051909307639,0.0417179795602957,0.987607343991597,-68.8475470533592,-56.7141030364781,-37.6320778868869,-24.5834408725645,-37.6684244195603,-24.1237094302254,-57.9386446237183,-31.0935797467505,-22.6491451334792
