date and time,p,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
23-Jan-2025 15:32:44,1,0.000502415550484632,0.330352830886841,0.042286358277003,-0.00640263048311075,-0.00105426628142595,-0.00427866172976792,0.999969792366028
23-Jan-2025 15:32:49,2,0.00884552864978711,0.337437695264816,0.0465938068926334,-0.00848054171850284,-0.00326003620090584,-0.00887435196588437,0.99991926352183
23-Jan-2025 15:32:54,3,0.0170130190749963,0.347028464078903,0.0537617134551207,-0.00967620847125848,-0.00497708879411221,-0.0084390780578057,0.999904855092366
23-Jan-2025 15:32:58,4,0.0219682817657789,0.355368532737096,0.0588071023424466,-0.0107190399741133,-0.0051749389929076,-0.0082745771544675,0.999894841512044
23-Jan-2025 15:33:03,5,0.0264662166436513,0.36269300977389,0.0623246774077415,-0.0139318634445469,-0.00545521437500914,-0.00727272893612583,0.99986158212026
23-Jan-2025 15:33:07,6,0.0287126398334901,0.369117850065231,0.0649554818868637,-0.0135901298373938,-0.00579601563513279,-0.00977098407844702,0.999842953681946
23-Jan-2025 15:33:11,7,0.0350290151933829,0.375149218241374,0.0653332208593686,-0.00816832069928447,-0.00572244406988223,-0.00806755435963472,0.99991770585378
23-Jan-2025 15:33:16,8,0.0387993757923444,0.379999721050262,0.0670991107821464,-0.00710549509773652,-0.00523348304753502,-0.00571131898711125,0.999944694836934
23-Jan-2025 15:33:20,9,0.0408511752883593,0.384275621175766,0.067457702755928,-0.00587077870344122,-0.00526968368018667,-0.00258856125486394,0.999965516726176
23-Jan-2025 15:33:24,10,0.0446366419394811,0.388172427813212,0.0680786018570264,-0.00529101292292277,-0.00517893287663658,-0.000828087962387751,0.999972271919251
23-Jan-2025 15:33:28,11,0.0482680387794971,0.391670151551565,0.0670997182528178,-0.00249260724522173,-0.00459758139525851,0.000769359384624598,0.999985996882121
23-Jan-2025 15:33:32,12,0.050559763610363,0.394509474436442,0.0640215302507083,-0.00196406786174824,-0.00466971493636568,0.00180185222998261,0.999985440572103
23-Jan-2025 15:33:37,13,0.0520340040326118,0.397194560368856,0.0631385996937752,-0.00519571928307414,-0.00594209243233005,3.814400236782e-05,0.999968679745992
23-Jan-2025 15:33:41,14,0.0555347080032031,0.399229411284129,0.0608960621058941,-0.0043108188547194,-0.00617169061054786,0.00141660020065804,0.999970547358195
23-Jan-2025 15:33:45,15,0.0583516925573349,0.400610417127609,0.0569761586685975,-0.00464403415098786,-0.00751401248077552,0.00124465155725678,0.999960160255432
23-Jan-2025 15:33:49,16,0.0600729917486509,0.401461978753408,0.0537954673171043,-0.00235673159671326,-0.00751919460793336,0.00135267051324869,0.999967940648397
23-Jan-2025 15:33:53,17,0.0603898371259371,0.401973921060562,0.0505026251077652,-0.000619970165037861,-0.00900698391099771,-1.7847628138649e-05,0.999959262212118
23-Jan-2025 15:33:57,18,0.0607355433205764,0.402432572841644,0.0497576013207436,-0.000356403835273037,-0.00959404353052378,0.000277529070444871,0.999953881899516
23-Jan-2025 15:34:01,19,0.0615505792200565,0.402587193250656,0.047939254840215,0.000915248335028688,-0.0104624066501856,-0.000317823193230045,0.999944798151652
23-Jan-2025 15:34:06,20,0.0606394504507383,0.402779545386632,0.0439163448909918,0.00524712180097898,-0.0104304404308399,-0.00255419326325258,0.999928577740987
23-Jan-2025 15:34:10,21,0.0603807265559832,0.40287610689799,0.0411947764456272,0.00647704700628916,-0.0109926213820775,-0.00333920797954003,0.999913048744202
23-Jan-2025 15:34:14,22,0.0587114046017329,0.402984835704168,0.0365610932310422,0.0100126570711533,-0.01075629144907,-0.00495278357217709,0.999879789352417
23-Jan-2025 15:34:18,23,0.0571764675279458,0.402951508760452,0.0319689815243085,0.0101528928304712,-0.0109896509597699,-0.00498617176587383,0.999875656763713
23-Jan-2025 15:34:22,24,0.0553354921440283,0.402938767274221,0.0268286095311244,0.0101508856440584,-0.0110963420321544,-0.00493461430693666,0.999874742825826
23-Jan-2025 15:34:27,25,0.0534944765269756,0.402988332509994,0.0217180321613948,0.00980757332096497,-0.0101313785960277,-0.00470821040992936,0.999889508883158
23-Jan-2025 15:34:31,26,0.0519489963849386,0.403204103310903,0.0158388312285145,0.00948128153880437,-0.00889435578137636,-0.00458587324246764,0.9999050060908
23-Jan-2025 15:34:35,27,0.0488970788816611,0.403381663560867,0.0111509038135409,0.00893749905129274,-0.0079841086640954,-0.0023363767657429,0.999925478299459
23-Jan-2025 15:34:39,28,0.0445837949713071,0.402839825550715,0.00849006126324336,0.00376654787299534,-0.00944226880868276,0.0025988947134465,0.999944933255513
23-Jan-2025 15:34:43,29,0.0402050552268823,0.402711417277654,0.00341701448584596,0.00234934228161971,-0.0103853652874629,0.00429628134394685,0.99993409315745
23-Jan-2025 15:34:48,30,0.03692355727156,0.402800114949544,-0.000303376575175207,0.00261442249951263,-0.0106492642313242,0.00436652386561036,0.999930318196615
23-Jan-2025 15:34:52,31,0.0316286474466324,0.402539575099945,-0.00265904497355223,0.00185092311197271,-0.0107242080693444,0.00455188645670811,0.99993040561676
23-Jan-2025 15:34:56,32,0.0264547602583965,0.402401347955068,-0.00538285054887334,0.00227901764834921,-0.0120761583869656,0.00426653455942869,0.999915377298991
23-Jan-2025 15:35:00,33,0.0227564367155234,0.402399110794067,-0.00657347136487563,0.0020772377261892,-0.0131952139238516,0.00738361123949289,0.999883516629537
23-Jan-2025 15:35:04,34,0.0183267548680305,0.402299845218658,-0.00818756589045127,0.00228546150028706,-0.0140390631432335,0.00762577954058846,0.999869775772095
