x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,f_t,l0,l1,l2,l3,l4,l5,l6,l7,l8
-0.066674408,0.393287794,0.077454701,0.002244474,0.008784196,0.111712823,0.993699173,0,-75.72565475,-88.791389,-50.79073257,-80.6827188,-49.91815278,-33.65095826,-59.46465009,-41.42812574,-25.44716893
-0.06834954,0.393884786,0.067866036,0.020153996,0.014370872,0.140106321,0.989827012,0,-76.05599546,-85.37191657,-50.2909391,-85.3043988,-52.90878276,-33.67030295,-56.83668188,-41.60961837,-25.59131656
-0.057034995,0.392124629,0.061721958,0.020889474,0.011400043,0.131781322,0.990993114,0,-75.9767506,-80.37549752,-48.44758544,-85.13675612,-51.9875435,-32.97158267,-58.47060022,-44.10804884,-25.49211695
-0.045601872,0.38958529,0.056744951,0.023820965,0.007829456,0.11538687,0.993004094,0,-74.10692324,-76.04974917,-46.30614309,-83.63102564,-44.15926327,-32.19489613,-59.74867774,-44.95482787,-25.83530293
-0.038200961,0.38821727,0.051288453,0.028952993,0.005263698,0.100704987,0.994481032,0,-72.39180464,-72.88433615,-44.0906564,-82.28125125,-43.30246256,-32.27922646,-61.59883485,-45.12578116,-26.02468172
-0.030337478,0.387331973,0.046380568,0.022023045,0.003429014,0.082789367,0.996317795,0,-72.4790404,-69.17409081,-41.68814753,-80.40945491,-45.78140161,-32.94406522,-63.96003175,-46.0838216,-26.06215691
-0.02378447,0.386854059,0.040374319,0.017440128,0.003899909,0.067002939,0.997592722,0,-72.26745336,-63.91642931,-39.41712758,-78.72664759,-52.92821053,-34.64915821,-66.20174855,-48.1854056,-26.62368029
-0.02025753,0.386651007,0.029313338,0.01530838,0.004058362,0.044394599,0.998888534,0,-71.30645491,-58.48505972,-37.06185209,-76.53833478,-58.2839544,-37.1743783,-69.20872531,-47.18376139,-26.69722778
-0.015618974,0.386986224,0.015245824,0.021806339,0.005550768,0.025689072,0.999416702,0,-69.52075076,-53.94183609,-34.51444883,-75.74726924,-63.19416573,-39.43466194,-71.92333203,-47.40550307,-27.57678731
-0.014092971,0.388388979,0.003720718,0.018381132,0.007785887,0.006000746,0.999782729,0,-69.42269376,-55.69268544,-32.24598168,-74.52982732,-69.6066108,-42.08747737,-74.49175374,-46.73893769,-28.40935287
-0.013508665,0.390357498,-0.012282116,0.047610234,0.010730255,0.000422055,0.998808264,0,-65.31369082,-53.97021647,-30.04260101,-77.04772673,-74.46381077,-45.48167353,-76.04662723,-47.02681519,-28.46601548
-0.017487525,0.391303084,-0.031018141,0.081917995,0.015936696,-0.010509257,0.996456231,0,-59.26409968,-52.35876573,-28.17145437,-77.65903206,-79.84656918,-48.71150264,-76.10245446,-43.26761592,-27.08592958
-0.018944551,0.394188474,-0.048907185,0.109700325,0.02140896,-0.011144735,0.993671621,0,-54.86921443,-49.90282412,-27.51642474,-79.86704033,-85.64210681,-52.23414822,-75.70875856,-42.95987827,-26.41246944
-0.022884186,0.396576043,-0.064121149,0.133807349,0.028021941,-0.010840211,0.990551793,0,-50.55168212,-47.32463708,-26.94445362,-80.92340009,-90.21903405,-55.00320204,-74.5653011,-41.75287142,-25.26732218
-0.025146116,0.399786353,-0.078514498,0.156694409,0.033628153,-0.008735052,0.987035819,0,-46.72282629,-45.36032731,-25.81401175,-82.45393558,-94.78665608,-57.62045997,-74.02196286,-40.69622999,-24.86133136
-0.027513203,0.403418956,-0.093321293,0.184720138,0.041350597,-0.008263459,0.9818861,0,-42.01330869,-43.17795618,-25.00433451,-83.99655894,-99.72462553,-59.63681996,-73.55368423,-39.26477125,-24.37491875
-0.031184872,0.408389701,-0.110199272,0.214234593,0.049523043,0.003237277,0.975520644,0,-37.68846022,-41.33655437,-24.43003959,-86.22022624,-105.0727687,-62.92773099,-71.9229354,-38.62090387,-24.59829526
-0.036498274,0.414754383,-0.126123831,0.228300903,0.057582428,0.006590979,0.971863941,0,-34.9809463,-39.21563723,-23.82343582,-88.1844155,-110.3259987,-67.15591752,-71.66095147,-37.32083216,-24.27656632
-0.041816229,0.419830531,-0.134581782,0.234470769,0.060984334,0.019525614,0.970011917,0,-35.93209966,-39.05496241,-24.17567763,-90.69386575,-114.9317721,-70.05274182,-70.95835,-36.96765829,-23.53228465
-0.051434636,0.424168015,-0.139146873,0.263247146,0.059916065,0.057394813,0.961153911,0,-35.36453004,-40.19161177,-25.11274241,-96.91976284,-116.6455734,-69.18406177,-66.10943436,-35.71261357,-23.14836542
-0.060486334,0.429171934,-0.143852222,0.289802693,0.053971208,0.101513021,0.9501561,0,-35.29912723,-41.55582172,-25.98951859,-103.8444752,-118.0475106,-69.10754115,-60.85036434,-34.39429331,-23.78380801
-0.069931948,0.436217705,-0.14948,0.319272568,0.048426357,0.149562679,0.934532461,0,-36.30980784,-42.28381196,-26.61115047,-112.5435951,-119.6685157,-68.75210026,-55.61121712,-33.64433528,-23.42893151
-0.079168465,0.44275675,-0.152408333,0.342467303,0.040812534,0.199935124,0.917102191,0,-37.93353015,-43.29369235,-27.25521019,-120.5549189,-121.2490548,-68.78219923,-50.7570313,-33.17855837,-23.77889547
