x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,f_t,l0,l1,l2,l3,l4,l5,l6,l7,l8
0.0031131444654117,0.3209,0.0413041099905968,0.994125803311666,-0.00190409806867441,0.106316489974658,-0.0201779089868069,6.19011,-0.9,-0.675,-3.6,-9.6,-10.35,-1.2,-10.65,-4.2,-4.80000000000001
0.00128507865592837,0.323820083204905,0.0428971275687218,0.994292219479879,-0.00209308229386806,0.106099261840185,-0.0110263876616955,6.19011,-9.782767767928,-18.7077160004969,-5.2885697393901,-11.5860902061101,-12.5180965881228,-5.58751256560263,-13.9121446725222,-7.75959616492495,-5.87075769895498
-0.000889897288288921,0.326810052855809,0.0445741223792235,0.994317356745402,0.00777931498984496,0.106172183652719,0.000137887836899608,6.19011,-14.165535535856,-21.7216820009938,-7.1646394787802,-13.1221804122203,-14.4986931762456,-7.65002513120527,-18.5242893450445,-8.69419232984986,-5.92901539790994
0.00106269107200205,0.33151195731163,0.0466177026430766,0.99397234916687,0.0164024401456118,0.107696524262428,0.0123071008051435,6.19011,-20.273303303784,-24.5012730014907,-8.9844592181703,-15.7832706183304,-17.9605397643683,-9.4500376968079,-24.3364340175667,-12.2912884947747,-7.13102309686489
0.00363536283063392,0.335956443214416,0.0487859507401784,0.993329791227976,0.0281508858005206,0.108283299207687,0.0278969044486682,6.19011,-26.043571071712,-27.0886765019877,-11.0761539575604,-17.3568608244406,-20.8880113524911,-11.5688002624105,-30.373578690089,-15.5696346596996,-8.90490579581983
0.00452119062344233,0.339989722633362,0.0508730048934619,0.992702639102936,0.0448084528247515,0.107639254629612,0.0307818724463383,6.19011,-29.54508883964,-31.5299862524846,-12.9287861969505,-19.4367010305507,-23.1732954406139,-13.4719378280132,-37.1982233626112,-18.1636058246245,-10.8897259947747
0.00942471424738566,0.344482279682159,0.0506893386443456,0.990981038411458,0.0611826601127783,0.10920523951451,0.0478283482293288,6.19011,-34.162231607568,-31.0482491279816,-14.6618871863406,-20.7946662366609,-26.5624857787367,-15.4172628936158,-43.5916180351335,-21.4653894895494,-12.6800149437297
0.0115393920491139,0.349782873058319,0.0539580081899961,0.989755229155223,0.070016689101855,0.109306167562803,0.0594515023132165,6.19011,-40.012186875496,-34.1799885659785,-16.7852225507307,-24.116693942771,-29.3786292418595,-17.6836817092184,-49.6943877076557,-25.7210794044743,-14.8230382676846
0.00266019323219856,0.350694371128082,0.0612027550737063,0.990719604492188,0.0462194023032983,0.106336974600951,0.0709292337298393,6.19011,-43.6070956912756,-37.7479526963984,-18.5012170469192,-25.3610723078735,-25.3193035851853,-18.098970764985,-47.0678938534771,-24.9607403880078,-14.103738612305
-0.00804400388151407,0.350802956883113,0.0655997768044472,0.991211716334025,0.0125933846458793,0.104577368497849,0.0800272136926651,6.19011,-47.2102076320553,-39.8567859674432,-20.5397701368578,-26.608966297976,-21.6042162097612,-17.6195332582516,-43.2812437492985,-23.0513779340414,-13.8476225506754
-0.0201679608474175,0.351423673693339,0.0696025257309278,0.991077244281769,-0.0184043601155281,0.103024649123351,0.0825418164332708,6.19011,-49.9174211353348,-42.5860538088005,-22.6646025236713,-28.5336181005784,-27.0612479749621,-17.4427324702681,-39.1395155201198,-21.4675037613249,-13.2230982859208
