x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
-0.071815512,-0.052773079,0.299906458,0.190654795,-0.026971858,0.002414912,0.981283566,-67.81613153,-37.68547822,-24.09821624,-24.8972736,-34.38507084,-27.39568652,-30.21100088,-18.97454459,-18.14820331
-0.087835912,-0.041202318,0.301773357,0.172684584,-0.050930329,0.006991854,0.983634714,-65.80891678,-42.03778134,-26.21537774,-30.83532018,-40.0077757,-30.1480489,-27.0156426,-18.384644,-17.79426296
-0.104280499,-0.032556527,0.302837217,0.150932894,-0.094423795,0.008805982,0.983984686,-66.01478796,-43.98627587,-28.40431659,-36.30725348,-45.3272579,-27.61115346,-23.47780385,-16.34659888,-19.24969761
-0.121202524,-0.018232453,0.307203257,0.129330316,-0.12391918,0.011829759,0.983756963,-64.00757321,-48.33857899,-30.52147809,-42.24530006,-50.94996276,-30.36351583,-20.28244557,-15.75669829,-18.89575726
-0.140125981,-0.003416449,0.309913154,0.099092893,-0.16060531,0.013744547,0.98193565,-62.88190143,-50.88897782,-32.89952826,-48.02529,-55.5960563,-35.42124929,-17.74084705,-11.59272544,-18.6215044
-0.157270667,0.007575242,0.316435419,0.075863289,-0.187954796,0.014015374,0.979143159,-60.87468668,-55.24128094,-35.01668977,-53.96333658,-61.21876116,-38.17361167,-14.54548877,-11.00282485,-18.26756405
-0.171997487,0.023067512,0.320847696,0.032849959,-0.208631597,0.007687199,0.977412218,-58.40824341,-58.09263191,-37.4142956,-59.74735485,-64.55316036,-40.50365958,-14.07701037,-9.825888131,-10.82846745
-0.183609507,0.035992046,0.32793083,0.010151324,-0.231659364,0.00573592,0.972727089,-56.40102865,-62.44493504,-39.53145711,-65.68540143,-70.17586522,-43.25602196,-10.88165209,-9.235987543,-10.4745271
-0.176749428,0.052837457,0.331589232,-0.030017883,-0.248339961,0.00289153,0.968203403,-55.5102651,-58.45284265,-39.08278844,-74.27824754,-72.38633084,-43.99159128,-17.1466894,-6.961642698,-18.1484529
-0.172206587,0.072198752,0.337208482,-0.064101657,-0.264162344,0.003464459,0.962339457,-53.7241158,-55.28622634,-37.74389761,-82.79810782,-73.79094929,-44.93831783,-21.14828677,-9.405815919,-19.61495684
