x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,mass,l0,l1,l2,l3,l4,l5,l6,l7,l8
-0.145802456,0.094339045,0.090144465,-0.114334591,-0.285515795,0.006036305,0.951510323,0,-51.71065937,-54.331872,-36.92511786,-92.25446102,-75.14849132,-47.42946576,-22.75660412,-18.34073011,-21.48517171
-0.138019043,0.10776532,0.096438346,-0.148353509,-0.289384365,0.008738332,0.945606455,0,-49.92451007,-51.16525569,-35.58622703,-100.7743213,-76.55310978,-48.37619231,-26.75820149,-20.78490333,-22.95167564
-0.126794174,0.129902936,0.103938957,-0.194689167,-0.306160235,0.015875868,0.931724206,0,-47.8747072,-50.67977036,-34.20739174,-109.312428,-78.23419002,-49.42012955,-28.96315884,-25.34944703,-25.97003504
-0.120977982,0.14326152,0.112952169,-0.22881665,-0.318339753,0.020623733,0.919715937,0,-46.0885579,-47.51315405,-32.86850091,-117.8322883,-79.63880847,-50.3668561,-32.96475621,-27.79362025,-27.43653897
-0.1174017,0.150432177,0.116022758,-0.236501534,-0.324483539,0.028643377,0.91539992,0,-47.09839704,-45.77784473,-32.7556067,-119.552176,-81.17598938,-51.02245188,-32.78928928,-29.77175029,-28.76645454
-0.115134821,0.157931409,0.11812729,-0.231808853,-0.329740309,0.039785363,0.914304713,0,-48.46506296,-38.27696991,-28.76268473,-120.1379405,-83.62493939,-52.00444232,-32.83714236,-32.86469509,-30.07044237
-0.118850247,0.15358879,0.120108799,-0.23090826,-0.336812072,0.037755739,0.912038106,0,-50.02831549,-44.60887783,-33.90977663,-122.1157666,-85.24300485,-52.74823543,-32.84833543,-34.80023251,-30.63739407
-0.116790573,0.161127733,0.122670756,-0.226238697,-0.339654461,0.048725885,0.911634075,0,-51.39498141,-37.10800301,-29.91685466,-122.701531,-87.69195486,-53.73022587,-32.8961885,-37.89317731,-31.9413819
-0.124751845,0.160918064,0.126872627,-0.2273508,-0.3509856,0.04826336,0.907078481,0,-52.78494064,-44.32351957,-34.99393962,-124.8083263,-89.72546259,-54.89311764,-32.40071158,-42.95741842,-24.55185167
-0.112496804,0.147629724,0.11585021,-0.208698335,-0.308238381,0.039576841,0.927290558,0,-55.04785591,-45.18607147,-35.51147076,-118.0926491,-89.85668795,-55.04498551,-39.087172,-40.66924203,-23.49401866
-0.104613621,0.137912532,0.106289782,-0.187181052,-0.264540223,0.031481759,0.945510774,0,-56.57241785,-44.93181905,-35.31400537,-113.3374873,-88.65519217,-54.83730405,-43.70196742,-37.19171381,-30.53942663
-0.09256796,0.128992043,0.100720855,-0.18127405,-0.225246207,0.02687098,0.956912648,0,-58.83533312,-45.79437095,-35.83153651,-106.6218102,-88.78641753,-54.98917192,-50.38842785,-34.90353742,-29.48159363
-0.076792975,0.118407805,0.090409968,-0.145467546,-0.170492442,0.020598713,0.974344504,0,-60.20407173,-44.6735207,-34.79156939,-100.7363907,-90.12628232,-55.11126512,-55.81405577,-38.09568512,-30.82538111
-0.065707714,0.106949462,0.085538326,-0.125289606,-0.12681387,0.014975878,0.983868121,0,-62.46698701,-45.5360726,-35.30910053,-94.02071351,-90.25750768,-55.26313299,-62.5005162,-35.80750873,-29.76754811
-0.049001567,0.097557067,0.079609219,-0.096034747,-0.064775279,0.008181169,0.993234393,0,-63.68281395,-43.60692342,-35.27288254,-85.02016518,-89.34305275,-55.55011353,-68.03156037,-40.38449439,-30.58552535
-0.040350216,0.083931826,0.077224624,-0.070090643,-0.024169567,0.002596553,0.997244399,0,-65.94572923,-44.46947532,-35.79041368,-78.304488,-89.47427811,-55.7019814,-74.71802079,-38.09631801,-29.52769235
-0.035843626,0.098004287,0.080192339,-0.097769319,-0.030444866,0.00132764,0.994742433,0,-62.271343,-43.40092583,-34.58898315,-82.5508129,-96.33907038,-51.96264745,-74.54288004,-39.39344874,-35.05966584
-0.041137839,0.116367402,0.086592072,-0.136786573,-0.058151736,0.003122592,0.988887283,0,-57.69550094,-45.30322689,-35.38942719,-89.96457338,-98.7767028,-53.03075718,-74.04544741,-37.33299844,-33.87873421
-0.039565212,0.134938864,0.092746868,-0.182630035,-0.05997364,-0.004094791,0.981342277,0,-53.87038679,-43.39510267,-34.36393395,-94.96961607,-102.6029151,-51.47014507,-74.45916072,-41.67633866,-18.95425513
-0.044877908,0.150070353,0.100602955,-0.217663035,-0.078647483,-0.004856668,0.972838008,0,-49.29454474,-45.29740372,-35.16437799,-102.3833765,-105.0405476,-52.53825479,-73.96172809,-39.61588837,-17.7733235
