date and time,Trajectory,Waypoint,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
13-Nov-2024 13:07:52,1,1,0.00423365443324049,0.324358300367991,0.0429855202635129,-0.0146487856283784,-0.0363901180525621,0.00732341216256221,0.999203471342723,-5.70000000000001,-11.025,-5.32500000000001,-5.25000000000001,-9.825,-6.37500000000001,-7.95000000000001,-4.2,-8.77500000000001
13-Nov-2024 13:08:06,1,2,0.00238763199498256,0.328081005811691,0.0516696259379387,-0.0371426609655221,-0.0364838823676109,0.0239264187713464,0.998357125123342,-10.2163297032551,-16.2072018332192,-7.91175353035402,-5.18916761431685,-9.7815482959406,-6.34892897756437,-14.5071808703127,-4.28623921658478,-8.8137703647188
13-Nov-2024 13:08:38,1,3,0.00332679972052574,0.333423372109731,0.0529381742080053,-0.0566110866765181,-0.0372401560346286,0.0263510797172785,0.997353506088257,-17.8076594065101,-18.5769036664384,-11.361007060708,-8.2033352286337,-13.1505965918812,-10.7853579551287,-20.2393617406255,-10.8974784331695,-10.4650407294376
13-Nov-2024 13:08:51,1,4,0.00231629878592988,0.33729422489802,0.0613747994105021,-0.0762777800361315,-0.0355218621591727,0.0479283439616362,0.995300360520681,-22.3239891097652,-23.7591054996577,-13.947760591062,-8.14250284295055,-13.1071448878218,-10.7592869326931,-26.7965426109382,-10.9837176497543,-10.5038110941564
13-Nov-2024 13:09:24,1,5,0.00510944199437896,0.341426042715708,0.063985883196195,-0.090887439250946,-0.0340947585801284,0.0600480449696382,0.993464291095734,-26.8778188130202,-26.7850573328769,-17.640764121416,-9.24417045726739,-17.1699431837623,-13.4144659102574,-32.5662234812509,-15.982456866339,-11.9488314588751
13-Nov-2024 13:09:36,1,6,0.0028093407706668,0.345595876375834,0.0741764406363169,-0.111723655462265,-0.0306763288875421,0.0803713450829188,0.990008715788523,-31.3941485162753,-31.9672591660961,-20.2275176517701,-9.18333807158423,-17.1264914797029,-13.3883948878218,-39.1234043515637,-16.0686960829238,-11.9876018235939
13-Nov-2024 13:10:07,1,7,0.00475560991714398,0.350498116016388,0.0774086505174637,-0.127548489967982,-0.0270205871512493,0.0902855222423871,0.987344857056936,-36.5292282195303,-36.1463359993154,-24.2673961821241,-10.5287556859011,-10.0611647756436,-16.2779488653861,-45.4368352218764,-20.1861852995085,-14.6794971883127
13-Nov-2024 13:10:18,1,8,0.0040445655118674,0.355308103561401,0.0868813047806422,-0.146391716599464,-0.0222226237257322,0.113870411614577,0.982399717966716,-41.0455579227853,-41.3285378325346,-26.8541497124781,-10.4679233002179,-10.0177130715842,-16.2518778429504,-51.9940160921891,-20.2724245160933,-14.7182675530315
13-Nov-2024 13:10:50,1,9,0.00290913774321477,0.360049092769623,0.0925611649950345,-0.164906741182009,-0.0147058550268412,0.126222424705823,0.978088668982188,-45.3462626260404,-47.7341771657538,-30.8424657428321,-10.8102159145347,-4.8883238675248,-19.2586193205147,-57.8293219625018,-25.674288732678,-16.4586004177502
13-Nov-2024 13:11:02,1,10,-0.00405855970457196,0.36103687286377,0.0877696906526883,-0.168322236339251,-0.0172115985304117,0.0950745970010757,0.98098535935084,-49.9648735896999,-45.529218226116,-29.8087561898596,-14.4355002685497,-9.12603039354267,-21.4462425003701,-52.7324207931101,-26.1890123647143,-16.7847321506148
13-Nov-2024 13:11:32,1,11,-0.00566665278747678,0.362006654342016,0.0788026134173075,-0.170705712834994,-0.0250964429229498,0.0499798387289047,0.983733586470286,-56.0506720533594,-41.3109780364782,-29.2508278868871,-19.1623471225646,-11.5707681695605,-21.8502719302254,-51.6245821237184,-19.9115484967506,-17.8866451334793
13-Nov-2024 13:11:43,1,12,-0.0151468569412827,0.363718644777934,0.0745617886384328,-0.167075482010841,-0.0252186583975951,0.0164981556435426,0.985483475526174,-60.6692830170189,-39.1060190968405,-28.2171183339146,-22.7876314765795,-15.8084746955784,-24.0378951100807,-46.5276809543267,-20.4262721287869,-18.2127768663438
13-Nov-2024 13:12:15,1,13,-0.0180313502748807,0.363297706842422,0.0701811273892721,-0.161553594470024,-0.0281250721464554,-0.0296130719284217,0.986018510659536,-63.1714877306784,-34.8444195322027,-27.421299405942,-26.2136970805945,-30.0996968465963,-23.6837214149361,-42.8253110349349,-25.7199020108232,-18.4767992242084
13-Nov-2024 13:12:27,1,14,-0.0276661550005277,0.365902028481166,0.0664745132128398,-0.165263056755066,-0.026340947051843,-0.0673767810066541,0.983592728773753,-67.7900986943379,-32.6394605925649,-26.3875898529695,-29.8389814346094,-34.3374033726141,-25.8713445947914,-37.7284098655432,-26.2346256428595,-18.8029309570729
13-Nov-2024 13:12:56,1,15,-0.0326190869013468,0.365912844737371,0.0613624145587285,-0.16348115503788,-0.0264234675715367,-0.110959803064664,0.979930444558461,-71.2005065329974,-31.0561813404271,-25.397825612497,-32.6146564136244,-37.226867711132,-27.0130693371467,-33.2537743211515,-18.4138023998959,-19.3230080024374
13-Nov-2024 13:13:07,1,16,-0.0420914423962434,0.367793558041255,0.0496457939346631,-0.135965977112452,-0.0223414660741886,-0.128246177236239,0.982123736540476,-69.1932917801627,-35.4084844632434,-27.5149871151279,-38.5527029947285,-42.8495725725128,-29.7654317090599,-30.0584160395131,-17.8239018121232,-18.9690676497739
13-Nov-2024 13:13:35,1,17,-0.0480676464736462,0.367149021228155,0.0437557995319366,-0.11076248139143,-0.022555457179745,-0.150490812460581,0.982128036022186,-68.381975464828,-39.9216274298097,-29.4291212740088,-41.0659448883327,-45.1731563401436,-32.144844862223,-27.2491905703747,-10.2162277868507,-18.1120999533603
13-Nov-2024 13:13:46,1,18,-0.0578202118476232,0.370142674446106,0.0316487021744251,-0.0836980953812599,-0.0193718320379655,-0.165702937046687,0.98242652018865,-66.3747607119933,-44.273930552626,-31.5462827766397,-47.0039914694368,-50.7958612015244,-34.8972072341362,-24.0538322887363,-9.62632719907808,-17.7581596006967
13-Nov-2024 13:14:14,1,19,-0.0640291487177213,0.36995317141215,0.0252488095313311,-0.039402465770642,-0.0223208428670963,-0.17216959297657,0.984025871753693,-63.3904951779087,-49.5316535973173,-33.1119306073956,-51.304635706791,-54.3940055160302,-37.3880949966743,-23.0765404133479,-5.3025398925555,-17.8277055761582
13-Nov-2024 13:14:25,1,20,-0.0770593668023745,0.374375315507253,0.017287153378129,-0.0129725037142634,-0.0218099469939868,-0.187185069918633,0.981996822357178,-61.383280425074,-53.8839567201336,-35.2290921100265,-57.2426822878951,-60.016710377411,-40.1404573685874,-19.8811821317095,-4.71263930478289,-17.4737652234946
13-Nov-2024 13:14:54,1,21,-0.0761829803387324,0.37563777367274,0.0120771080255508,0.033638255049785,-0.0327250070869923,-0.154053256909053,0.986947429180145,-55.6625402816143,-58.2389698038875,-37.9704967767199,-61.3120276971243,-63.8771349653544,-43.4370824358131,-27.469857053196,-2.25579535763529,-17.8565680348935
13-Nov-2024 13:15:06,1,22,-0.0892355014880498,0.380113595724106,0.0058460235906144,0.0672216653823852,-0.039335884898901,-0.164846322933833,0.983239384492238,-53.6553255287796,-62.5912729267038,-40.0876582793508,-67.2500742782284,-69.4998398267352,-46.1894448077262,-24.2744987715576,-1.66589476986268,-17.5026276822299
13-Nov-2024 13:15:36,1,23,-0.079668619732062,0.383550524711609,-0.00369898329178492,0.0958794494469961,-0.0394230368236701,-0.176152138908704,0.978888885180155,-56.537413533335,-60.7010115986177,-38.6108890292271,-76.0355839698,-71.5983181415245,-47.5583027032589,-28.9431127439731,-3.17659631139963,-20.3875031969959
13-Nov-2024 13:15:47,1,24,-0.0757333035270373,0.387983000278473,-0.0114504228656491,0.132479889194171,-0.0424873528381189,-0.178021528323491,0.974141824245453,-54.751264233203,-57.5343952900629,-37.2719981970721,-84.5554442473091,-73.0029365930325,-48.5050292511354,-32.9447101148262,-5.62076953262407,-21.8540071297305
13-Nov-2024 13:16:16,1,25,-0.0710826108853022,0.390538537502289,-0.0264161402980487,0.171191559235255,-0.0366018128891786,-0.200083668033282,0.964012602965037,-54.6992335854146,-54.6309564717425,-36.2391681559328,-92.8331292318495,-75.0544849761812,-50.11282147284,-29.8548157864606,-7.59820691400477,-23.3546968534808
13-Nov-2024 13:16:27,1,26,-0.066403828561306,0.395871100823085,-0.0351031261185805,0.210653245449066,-0.0371946170926094,-0.200891436139743,0.955973025163015,-52.9130842852826,-51.4643401631877,-34.9002773237778,-101.352989509359,-76.4591034276893,-51.0595480207165,-33.8564131573137,-10.0423801352292,-24.8212007862155
13-Nov-2024 13:16:56,1,27,-0.060271712889274,0.400303781032562,-0.0465279060105483,0.259767727057139,-0.0335534304380417,-0.204241506258647,0.943228673934936,-51.0189943113223,-47.9793125997501,-34.1644168871307,-109.826762140383,-78.2621868450177,-51.661807405507,-34.9872646785574,-15.1781854365318,-26.079797614458
13-Nov-2024 13:17:08,1,28,-0.0572636897365252,0.40548949042956,-0.0522209386030833,0.292993702491124,-0.0337479675809542,-0.203783525029818,0.933535250027974,-49.2328450111903,-44.8126962911953,-32.8255260549757,-118.346622417893,-79.6668052965257,-52.6085339533835,-38.9888620494105,-17.6223586577562,-27.5463015471926
13-Nov-2024 13:17:43,1,29,-0.0594626689950625,0.407289171218872,-0.0573014681537946,0.309936169783274,-0.0317366177837054,-0.219148070613543,0.924611536661784,-49.8705405950356,-50.4276158447466,-32.3591192755861,-120.484343062766,-81.7149877899233,-53.4182908094443,-36.0263421998194,-34.1361194954483,-28.4463358261331
13-Nov-2024 13:17:54,1,30,-0.0557694723208745,0.408688014745712,-0.0638787195086479,0.306811149915059,-0.0232414539903402,-0.224248864253362,0.92468329668045,-51.2372065157949,-42.9267410257394,-28.3661972984425,-121.070107530881,-84.1639378004108,-54.4002812470481,-36.0741952750329,-37.2290642931013,-29.7503236573197
13-Nov-2024 13:18:31,1,31,-0.0602347008883953,0.410380427042643,-0.0594868205487728,0.310192896922429,-0.0256220062573751,-0.233862031499545,0.921103938420614,-52.4643872680972,-51.5837633930114,-32.5115329201758,-123.256850087375,-85.1375040523534,-54.3211548938804,-35.5918618878441,-36.0074171107739,-31.6023347123832
13-Nov-2024 13:18:42,1,32,-0.0563980743288994,0.41189546585083,-0.0662148654460907,0.307889312505722,-0.0166118431836367,-0.23888696928819,0.920793811480204,-53.8310531888566,-44.0828885740042,-28.5186109430323,-123.842614555491,-87.5864540628409,-55.3031453314842,-35.6397149630576,-39.1003619084269,-32.9063225435698
13-Nov-2024 13:19:13,1,33,-0.0652580132087072,0.413470335801442,-0.0674514080087344,0.311847331126531,-0.0167369877298673,-0.256787206729253,0.914620951811473,-55.0529765253874,-22.1609623481367,-34.5948177653272,-125.528868067796,-88.2477121940559,-56.8795773737023,-29.79747480707,-42.5860107160897,-25.4093219866949
