dtm_13,dtm_24,de_13,de_24,dl
2.946984481811523438e+01,-6.684043884277343750e+00,-1.421989059448242188e+01,1.274105072021484375e+00,1.214058685302734375e+01
2.938220596313476562e+01,-7.235343933105468750e+00,-1.398527526855468750e+01,1.023635864257812500e+00,1.104758262634277344e+01
2.924127578735351562e+01,-7.717639923095703125e+00,-1.369951248168945312e+01,7.083549499511718750e-01,1.007266235351562500e+01
2.826966476440429688e+01,-7.484207153320312500e+00,-1.257379913330078125e+01,4.567184448242187500e-01,9.633211135864257812e+00
2.730150222778320312e+01,-7.244262695312500000e+00,-1.147893524169921875e+01,1.950721740722656250e-01,9.198678970336914062e+00
2.634715652465820312e+01,-7.001060485839843750e+00,-1.040198516845703125e+01,-6.311798095703125000e-02,8.771392822265625000e+00
2.539775466918945312e+01,-6.798202514648437500e+00,-9.392093658447265625e+00,-3.165626525878906250e-01,8.358898162841796875e+00
2.447278213500976562e+01,-6.647022247314453125e+00,-8.485530853271484375e+00,-5.656051635742187500e-01,7.971382141113281250e+00
2.355371475219726562e+01,-6.494106292724609375e+00,-7.569194793701171875e+00,-8.291931152343750000e-01,7.584793090820312500e+00
2.263984298706054688e+01,-6.316123962402343750e+00,-6.644313812255859375e+00,-9.925689697265625000e-01,7.233839035034179688e+00
2.170838546752929688e+01,-6.115371704101562500e+00,-5.747543334960937500e+00,-1.136692047119140625e+00,6.884025573730468750e+00
2.083470535278320312e+01,-5.899971008300781250e+00,-4.892623901367187500e+00,-1.209442138671875000e+00,6.529811859130859375e+00
1.996277999877929688e+01,-5.654075622558593750e+00,-4.047096252441406250e+00,-1.275226593017578125e+00,6.185800552368164062e+00
1.906163406372070312e+01,-5.410270690917968750e+00,-3.247230529785156250e+00,-1.345226287841796875e+00,5.840950012207031250e+00
1.812678146362304688e+01,-5.177410125732421875e+00,-2.560852050781250000e+00,-1.353298187255859375e+00,5.534317016601562500e+00
1.718535232543945312e+01,-4.939231872558593750e+00,-1.909202575683593750e+00,-1.357685089111328125e+00,5.241886138916015625e+00
1.623632431030273438e+01,-4.698524475097656250e+00,-1.254558563232421875e+00,-1.380668640136718750e+00,4.960189819335937500e+00
1.537384414672851562e+01,-4.477569580078125000e+00,-6.643867492675781250e-01,-1.346092224121093750e+00,4.723709106445312500e+00
1.456996536254882812e+01,-4.291122436523437500e+00,-1.578445434570312500e-01,-1.268405914306640625e+00,4.528673171997070312e+00
1.378097915649414062e+01,-4.092506408691406250e+00,3.269081115722656250e-01,-1.171180725097656250e+00,4.348011016845703125e+00
1.298670578002929688e+01,-3.845981597900390625e+00,7.802963256835937500e-01,-1.117313385009765625e+00,4.180631637573242188e+00
1.218772506713867188e+01,-3.569660186767578125e+00,1.216823577880859375e+00,-1.088619232177734375e+00,4.030769348144531250e+00
1.137577438354492188e+01,-3.297740936279296875e+00,1.666019439697265625e+00,-1.053852081298828125e+00,3.896181106567382812e+00
1.056155395507812500e+01,-3.010791778564453125e+00,2.064254760742187500e+00,-1.021480560302734375e+00,3.794828414916992188e+00
9.731220245361328125e+00,-2.704944610595703125e+00,2.394340515136718750e+00,-9.084205627441406250e-01,3.698657989501953125e+00
