date and time,p,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
23-Jan-2025 14:40:55,1,0.00165368074473614,0.3304758588473,0.0411802254617214,-0.00435048971946041,-0.00513211501141389,-0.00249018111110975,0.999974155426025
23-Jan-2025 14:40:59,2,0.00865684443463882,0.337883055210114,0.0467090668777625,-0.00802809831996759,-0.00731071991225084,-0.00822713794186711,0.999906953175863
23-Jan-2025 14:41:04,3,0.0176221280048291,0.347418308258057,0.0550182357430458,-0.00983049279699723,-0.00876993884642919,-0.00775438050429026,0.999882769584656
23-Jan-2025 14:41:09,4,0.022760907933116,0.355929487943649,0.0593921273946762,-0.0108703626940648,-0.00870078280568123,-0.00826385499288638,0.999868814150492
23-Jan-2025 14:41:13,5,0.0273074645549059,0.363160906235377,0.0627956499656041,-0.0137067432204882,-0.00883733841280143,-0.00675259350488583,0.999844177563985
23-Jan-2025 14:41:17,6,0.0296612401803335,0.369755115111669,0.0656886428594589,-0.0138165075331926,-0.00897783233473698,-0.00882161657015483,0.999825247128804
23-Jan-2025 14:41:22,7,0.0355276549855868,0.375815469026566,0.0660322040319443,-0.00723485943550865,-0.00860736096898715,-0.00861972669760386,0.99989960193634
23-Jan-2025 14:41:26,8,0.039669777204593,0.380731117725372,0.0680178130666415,-0.00786185615385572,-0.00819283636907736,-0.00432130166639884,0.999926137924194
23-Jan-2025 14:41:30,9,0.0417840965092182,0.385026119152705,0.0679412494103114,-0.00643665582562486,-0.00789242638275027,-0.00194562271547814,0.999946244557699
23-Jan-2025 14:41:35,10,0.0451497075458368,0.388836767276128,0.0693409979343414,-0.00607994313662251,-0.0078602855404218,8.2549749458849e-05,0.999950575828552
23-Jan-2025 14:41:39,11,0.0489459499716759,0.392440017064412,0.0676750232776006,-0.0016747828029717,-0.00678531046335896,0.000838715889646361,0.999975220362345
23-Jan-2025 14:41:43,12,0.0512914185722669,0.395288626352946,0.0649758373697599,-0.00078043916534322,-0.0072059798364838,0.00174010725071033,0.999972192446391
23-Jan-2025 14:41:47,13,0.0530929063757261,0.398044242461522,0.0642811800042788,-0.00401223977096379,-0.00853952417771022,0.000291369313223792,0.999955201148987
23-Jan-2025 14:41:51,14,0.0562764803568522,0.399821794033051,0.0616156026721001,-0.00231439801864326,-0.00846584526201089,0.00208820017675559,0.999959286053975
23-Jan-2025 14:41:55,15,0.0587821265061696,0.401298624277115,0.0587472811341286,-0.00413529554692407,-0.00939058096458515,0.00177213624895861,0.999945680300395
23-Jan-2025 14:41:59,16,0.0610730908811092,0.402221886316935,0.0550442901750406,-0.00138613397721201,-0.0100452174122135,0.001727174827829,0.999947094917297
23-Jan-2025 14:42:04,17,0.0615521833300591,0.402852690219879,0.0516054158409437,-0.000344874217989855,-0.0112508705506722,0.00101612024009228,0.999936127662659
23-Jan-2025 14:42:08,18,0.0624420133729776,0.403249414761861,0.0497261477013429,0.000389595367596485,-0.0124408741792043,0.00136835857604941,0.999921607971191
23-Jan-2025 14:42:12,19,0.0631582200527191,0.40358194510142,0.047768950710694,0.0019860315679883,-0.0127416133880615,0.00192092924844474,0.999915027618408
23-Jan-2025 14:42:16,20,0.0625789488355319,0.403728787104289,0.0443702484170596,0.00507949106395245,-0.0128847559913993,0.000396090039672951,0.999904052416484
