date and time,sample,dtm_13,dtm_24,de_13,de_24,dl,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,x_mid_avg,y_mid_avg,z_mid_avg,qx_mid_avg,qy_mid_avg,qz_mid_avg,qw_mid_avg,x_top_avg,y_top_avg,z_top_avg,qx_top_avg,qy_top_avg,qz_top_avg,qw_top_avg
7/20/2023 5:53,1,0,0,0,0,0,0.071391857,0.324245725,0.073688179,0.022031261,0.605151935,-0.020320441,-0.795545439,0.083330167,0.50684036,0.064912659,-0.010832711,0.041289509,-0.08161495,-0.995749052,0.073682835,0.809143356,0.063791515,0.04554635,0.011080141,0.035060163,-0.998285158
7/20/2023 5:53,2,6.449832024,-4.735088493,4.121263103,-6.417787494,1.094819874,0.065390482,0.325008013,0.065511244,0.018257584,0.605333424,-0.007431938,-0.795727452,0.080019095,0.507541168,0.061010486,-0.022295016,0.04155705,-0.073798386,-0.99615647,0.073039816,0.80942171,0.062943756,0.042815212,0.010532314,0.038481271,-0.998285421
7/20/2023 5:53,3,12.20691253,-13.84672612,-5.293227901,-7.519393824,3.435552832,0.044204126,0.324978862,0.065736129,0.039895813,0.609498465,0.004824037,-0.791767152,0.067580607,0.506883804,0.058495929,-0.019249862,0.048122016,-0.050510164,-0.997377177,0.069209051,0.809435173,0.062183313,0.036893481,0.016210667,0.052431534,-0.997810133
7/20/2023 5:53,4,14.55644083,-9.434270424,-6.00467521,-8.011297731,4.503450734,0.044476896,0.324429023,0.055935143,0.061338849,0.602679253,0.010174211,-0.795556875,0.072432029,0.506397041,0.045600002,-0.02439114,0.041214817,-0.045333933,-0.99782246,0.071314689,0.809609667,0.05724189,0.016491197,0.010835643,0.045799355,-0.998752801
7/20/2023 5:53,5,6.796454581,-7.169832492,-3.603433768,-6.272206992,4.04598742,0.042117329,0.323706663,0.066590573,0.055791402,0.609200664,0.010981489,-0.790970818,0.069632892,0.505595533,0.056958778,-0.017234186,0.04825828,-0.045603034,-0.997641722,0.069861949,0.809140261,0.061493307,0.031324789,0.016759152,0.049052645,-0.998160581
7/20/2023 5:53,6,13.23298747,-0.611854355,7.131118406,-0.851548834,4.145037426,0.079597408,0.321284668,0.042301504,-0.004695299,0.602916078,-0.007438559,-0.797753616,0.089592862,0.505212565,0.044423146,-0.04521396,0.040214443,-0.083991244,-0.994625882,0.075451732,0.808472355,0.057739442,0.018129592,0.006729709,0.02487908,-0.999503156
7/20/2023 5:53,7,9.343244946,1.015320524,2.923373618,8.12403206,3.261420711,0.0979549,0.323434883,0.061960061,-0.010862877,0.603982552,-0.054091648,-0.795082585,0.09441477,0.506973179,0.055723875,-0.022865477,0.040189706,-0.111241243,-0.992716455,0.075943321,0.809098895,0.060817426,0.028790174,0.009461765,0.025737712,-0.999208653
7/20/2023 5:53,8,10.46740204,-1.93025102,12.28303392,11.35846046,5.503580327,0.105553175,0.321991595,0.051411285,-0.042662506,0.602043084,-0.06777405,-0.794436165,0.093220183,0.505631141,0.050643736,-0.032709483,0.040615156,-0.120992839,-0.991280957,0.074389515,0.808344662,0.059663574,0.024418092,0.006920479,0.027767171,-0.999291348
7/20/2023 5:53,9,3.804780684,-10.15938879,23.49270145,14.49426287,6.845399371,0.116940803,0.322118894,0.045161016,-0.085314608,0.599613134,-0.077289928,-0.791966828,0.09429258,0.504790791,0.053499342,-0.051857656,0.040868209,-0.136412592,-0.988448934,0.073571734,0.807669282,0.062732979,0.035801234,0.003107603,0.027966108,-0.998961778
7/20/2023 5:53,10,6.239445596,-16.56115464,22.35879235,12.91032761,6.835135771,0.098716194,0.321554532,0.038352059,-0.083694969,0.601356057,-0.066551037,-0.791793203,0.080261418,0.504727419,0.048687678,-0.058212986,0.043061009,-0.119513385,-0.990188416,0.068761977,0.808001451,0.061346238,0.031203479,0.001753261,0.046664019,-0.99841874
7/20/2023 5:54,11,-4.619581488,-12.73041145,27.58535579,17.56626957,5.867062318,0.113799782,0.326632398,0.023113668,-0.125810629,0.59974126,-0.07564993,-0.786612221,0.084600802,0.507050701,0.043017395,-0.080029298,0.044623327,-0.140648096,-0.985810228,0.06957601,0.808660332,0.059964486,0.028309835,-8.13E-05,0.049434814,-0.998375777
7/20/2023 5:54,12,0.33067836,-18.86643087,34.34959435,31.61219187,6.127854293,0.133427177,0.333743775,0.026741715,-0.155180754,0.596343072,-0.124037157,-0.777757668,0.087018204,0.509393581,0.045649648,-0.07860627,0.047909924,-0.166585104,-0.981719581,0.070875426,0.809601303,0.060800583,0.030330219,0.000106713,0.05051474,-0.998262656
7/20/2023 5:54,13,9.84646931,-22.94537909,30.10964894,39.62827234,7.180508662,0.133749346,0.335913555,0.032243715,-0.160296649,0.595433644,-0.145509005,-0.773686552,0.082050129,0.510477193,0.047068553,-0.072439391,0.04838136,-0.171542591,-0.981317918,0.068788015,0.810558256,0.060904536,0.030043286,-0.000233201,0.060295974,-0.997728308
7/20/2023 5:54,14,17.8482454,-21.27803241,33.16860281,22.64426731,5.73065115,0.113526504,0.33497596,0.010655111,-0.162313772,0.601481104,-0.115087308,-0.773710605,0.070000278,0.511118388,0.03288975,-0.092798495,0.054528892,-0.148122364,-0.983093445,0.065744275,0.811173336,0.056340763,0.011743438,-0.00651743,0.073563108,-0.99719828
7/20/2023 5:54,15,20.23526208,-20.74271846,42.56687595,30.87054353,5.136953325,0.136081614,0.343141123,-0.002994037,-0.204177724,0.598222097,-0.120659916,-0.765428142,0.081565908,0.513987557,0.029599722,-0.117172395,0.055953419,-0.176538049,-0.975691036,0.069178486,0.812185649,0.056406946,0.010605581,-0.010279853,0.06732587,-0.997621353
7/20/2023 5:54,16,15.62015477,-14.37901578,49.47333966,20.42532358,3.406554006,0.138989901,0.352775906,-0.021530172,-0.257294246,0.596241804,-0.091805156,-0.754892766,0.081327231,0.517335093,0.028729887,-0.153051011,0.060610065,-0.190310125,-0.967822762,0.069332173,0.813135076,0.056983192,0.015242498,-0.011383216,0.070085978,-0.997359359
