x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
1.02E-01,3.46E-01,1.43E-01,1.42E-01,-7.56E-03,-1.14E-01,-9.83E-01,0.102224466,0.343356927,0.144561486,0.124257972,-0.009613263,-0.099269166,-0.98722477
8.49E-03,3.28E-01,1.48E-01,9.31E-02,-2.63E-03,8.80E-02,-9.92E-01,0.020909266,0.33121266,0.155101113,0.115082942,0.004795744,0.050884283,-0.992039871
-5.06E-03,3.23E-01,9.22E-02,9.20E-03,-1.35E-02,1.04E-01,-9.94E-01,-0.009296051,0.322660168,0.086539293,0.008320006,-0.013459439,0.106813676,-0.994153063
6.43E-02,3.39E-01,2.18E-02,-6.17E-02,-7.22E-03,5.10E-02,-9.97E-01,0.062397641,0.333201778,0.011927528,-0.079292463,-0.012360772,0.035702674,-0.996134603
1.04E-01,3.28E-01,7.44E-02,-2.96E-02,1.39E-03,-1.46E-02,-9.99E-01,0.110392094,0.329146127,0.072922336,-0.035033548,0.004955025,-0.01597429,-0.999246148
2.53E-02,3.25E-01,7.33E-02,-7.71E-02,-1.01E-02,2.84E-02,-9.97E-01,0.028236323,0.325530899,0.074254981,-0.0700797,-0.012563522,0.028213738,-0.997063156
1.31E-02,3.38E-01,1.40E-01,1.28E-01,-1.46E-02,4.86E-02,-9.91E-01,0.017936338,0.333411223,0.136528138,0.095102353,-0.01205611,0.043208668,-0.994455723
4.04E-02,3.26E-01,5.27E-02,-6.87E-02,-6.18E-03,-1.39E-02,-9.98E-01,0.040659255,0.325294822,0.052007932,-0.067819473,-0.010340234,-0.027036196,-0.997273942
4.58E-03,3.20E-01,4.87E-02,-1.29E-02,-1.52E-02,7.40E-02,-9.97E-01,0.0066405,0.321950982,0.046554516,-0.030061783,-0.010068814,0.052216788,-0.99813079
4.73E-02,3.28E-01,1.56E-01,8.81E-02,1.96E-02,9.30E-02,-9.92E-01,0.043551624,0.325085845,0.136418783,0.078488611,0.005822015,0.082228429,-0.993499815
7.50E-02,3.48E-01,1.89E-01,1.12E-01,-1.51E-02,-9.54E-02,-9.89E-01,0.071324386,0.343446988,0.190968079,0.107871839,-0.013530497,-0.060881131,-0.992206144
3.86E-02,3.35E-01,-1.35E-02,-1.04E-01,-1.28E-02,6.67E-02,-9.92E-01,0.040320455,0.331506435,0.00420504,-0.085921705,-0.013507838,0.063867728,-0.994160819
-3.64E-02,3.68E-01,1.74E-01,1.45E-01,3.21E-02,2.32E-01,-9.61E-01,-0.033303845,0.36073131,0.16151033,0.134083922,0.011625831,0.215966946,-0.96708012
1.94E-02,3.36E-01,3.88E-02,-5.65E-02,-1.65E-02,1.14E-01,-9.92E-01,0.013997774,0.335066364,0.046191051,-0.042916615,-0.010997533,0.128494767,-0.99071999
6.39E-02,3.35E-01,7.68E-02,4.53E-02,-7.87E-03,-9.84E-02,-9.94E-01,0.074393209,0.332099807,0.076950337,0.029246461,-0.002101447,-0.065307154,-0.99743402
-2.85E-03,3.48E-01,1.24E-01,-7.56E-02,2.48E-02,1.30E-01,-9.88E-01,-0.005847488,0.342127613,0.111138147,-0.044095727,0.001619238,0.101662702,-0.993839308
-3.69E-03,3.57E-01,1.29E-01,1.16E-03,1.02E-02,1.54E-01,-9.88E-01,-0.003701523,0.352107753,0.125278565,-0.002388922,0.008487876,0.146177331,-0.989219101
1.82E-02,3.25E-01,1.55E-01,9.51E-02,6.49E-03,7.86E-02,-9.92E-01,0.019806357,0.326214818,0.150879884,0.090300823,0.010105243,0.071684409,-0.993266626
1.56E-01,3.50E-01,1.07E-01,1.61E-02,-2.29E-02,-2.41E-01,-9.70E-01,0.159008821,0.346537658,0.119434542,0.045664357,-0.006349807,-0.224266158,-0.973436232
7.36E-04,3.25E-01,1.37E-01,5.69E-02,-1.20E-02,4.08E-02,-9.97E-01,0.006566186,0.322110717,0.122249842,0.032218086,-0.013677436,0.032192997,-0.998868398
7.70E-03,3.43E-01,1.07E-01,7.02E-02,-2.61E-02,-3.74E-02,-9.96E-01,0.018216151,0.33729309,0.102577287,0.073617373,-0.021592206,-0.040420373,-0.996233102
