date and time,Repeat num,Test num,d0_end,d1_end,d2_end,d0_body,d1_body,d2_body,dL,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
16-Jan-2024 21:55:34,1,1,0,0,0,0,0,0,0,-0.0141070480147998,0.0352634973824024,0.241201867659887,-0.014970646922787,0.0083805442477266,0.977997183799744,-0.207911495367686
16-Jan-2024 21:55:37,1,2,-0.51456529169851,-17.3734151143012,-20.0022209761412,-16.8699335919907,-17.0468371962269,-24.3949669161481,-7.30269621632042,-0.00661299812297026,0.0419272777934869,0.242004662752151,-0.0288512080907822,0.000170904190842217,0.97771718899409,-0.207934234539668
16-Jan-2024 21:55:39,1,3,-2.54029248245161,-7.83643268293194,-12.3297052391799,-3.94819262868537,-5.66438328623726,-16.3335976488223,-6.46353227021036,-0.00569636443008979,0.0434796725710233,0.241951014598211,-0.0290557485073805,-4.36308381419318e-05,0.977706277370453,-0.207957191268603
16-Jan-2024 21:55:42,1,4,-5.18266062976429,-2.27269184881218,-9.94048501776638,-5.53852616001126,-0.774116286283026,-13.4767299908978,-9.61714406475661,-0.00372951705940068,0.0392821324368318,0.242604960004489,-0.0367347483833631,0.00255873097727696,0.977520720163981,-0.207598808407783
16-Jan-2024 21:55:44,1,5,-6.77070816357919,-1.65577980796671,-11.1537812105722,-24.4858019155763,-15.6671573579157,-28.1654275862044,-10.2311057966695,-0.00882938019931316,0.0243558595577876,0.243267878890038,-0.0334818874796232,0.0169177604218324,0.977457622687022,-0.207772219181061
16-Jan-2024 21:55:47,1,6,-0.274302968324048,-7.46245544630301,-15.5566452699851,-12.2680822676532,-5.96889059519149,-25.4083216065444,-14.2709586798575,0.00462089128171404,0.0440122743447622,0.244571630160014,-0.055451742062966,0.000355215269761781,0.976828066507975,-0.206716089447339
16-Jan-2024 21:55:50,1,7,-3.11429083660107,-9.37516457002832,-6.14958690235599,-16.2922217550055,-11.2460429328435,-29.10390174322,-18.5389338648848,-0.00784140365819136,0.0572111959258715,0.247098080317179,-0.0459926510850589,-0.0421916472415129,0.976597841580709,-0.205817960699399
16-Jan-2024 21:55:52,1,8,-21.9373468523353,-18.8403589253696,-14.2269703325641,-2.05771050532641,-1.85359087667217,-16.1644428269958,-19.4884945123887,-0.0127970717226466,0.0582283978660901,0.247190888722738,-0.039895244439443,-0.0397432478765647,0.97705378929774,-0.205413631598155
16-Jan-2024 21:55:55,1,9,-10.5146909462625,-7.8582967839721,-7.8788774900981,-5.60461312860547,-6.0875274054145,-13.6674992314475,-16.8509722208406,-0.0215409889817238,0.0503727960089842,0.247823120156924,-0.0347896439333757,-0.0192091242720683,0.977694571018219,-0.206236759821574
16-Jan-2024 21:55:57,1,10,-10.2044978351687,-12.8726486466043,-12.5724884437916,-2.94494785391227,-1.79248639660061,-10.6090593929757,-18.4391811013836,-0.0165196632345517,0.0529798991978169,0.249778413772583,-0.046426110714674,-0.0276072322080533,0.977051365375519,-0.206041525801023
