Format Version,1.24,Take Name,Take 2024-08-07 11.30.36 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-08-07 11.30.37.870 AM,Capture Start Frame,4110063,Total Frames in Take,3020,Total Exported Frames,3020,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.001763,-0.168963,-0.000317,0.985621,-14.629344,252.426865,-4.589004,22.457798,250.375870,49.936317,-46.022457,254.104797,-58.018833,-77.854408,252.796707,34.131496,42.901691,252.429993,-44.404987,22.613251,250.662567,49.784462,-46.513950,254.492340,-57.748432,-77.759178,252.485336,33.725380,43.100624,252.045486,-44.069099,-40.994804,380.432556,-35.209343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.001761,-0.168962,-0.000333,0.985621,-14.630455,252.429092,-4.588934,22.456779,250.376526,49.936256,-46.023670,254.108429,-58.018658,-77.855392,252.800522,34.131748,42.900467,252.430832,-44.405083,22.611864,250.665390,49.784531,-46.513641,254.498566,-57.748711,-77.759857,252.486908,33.726200,43.098396,252.043549,-44.069500,-40.994923,380.439117,-35.213612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.001769,-0.168962,-0.000314,0.985621,-14.631701,252.430679,-4.590173,22.455645,250.380539,49.935040,-46.025009,254.107773,-58.019913,-77.856628,252.800797,34.130547,42.899197,252.433533,-44.406357,22.611603,250.668076,49.784454,-46.515423,254.495438,-57.749336,-77.761971,252.488464,33.723576,43.096943,252.048935,-44.072269,-40.993919,380.435730,-35.210754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.001760,-0.168968,-0.000338,0.985620,-14.631223,252.423676,-4.589216,22.455332,250.370529,49.936420,-46.023773,254.103516,-58.019314,-77.856628,252.795578,34.130707,42.900177,252.424988,-44.404667,22.611084,250.656815,49.786591,-46.514145,254.490616,-57.749977,-77.760857,252.484314,33.724125,43.097237,252.040955,-44.069954,-40.995529,380.435242,-35.204327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.001795,-0.168958,-0.000324,0.985622,-14.631600,252.426743,-4.590084,22.456064,250.378098,49.934967,-46.025227,254.102264,-58.019688,-77.856247,252.800491,34.131054,42.899017,252.426056,-44.406666,22.613077,250.665482,49.783676,-46.516529,254.490524,-57.750671,-77.761375,252.488434,33.724556,43.096748,252.040558,-44.069729,-40.994656,380.432709,-35.209362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.001759,-0.168961,-0.000324,0.985621,-14.631482,252.428894,-4.588853,22.455933,250.376846,49.936237,-46.024868,254.107773,-58.018494,-77.856331,252.799149,34.132000,42.899334,252.431686,-44.405151,22.612020,250.665604,49.786003,-46.516380,254.498032,-57.750114,-77.760620,252.485458,33.725990,43.097408,252.044266,-44.069241,-40.991127,380.433990,-35.209167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.001788,-0.168963,-0.000333,0.985621,-14.631693,252.429428,-4.589728,22.455458,250.379349,49.935616,-46.024826,254.106247,-58.019577,-77.856682,252.803497,34.130859,42.899277,252.428528,-44.405811,22.612030,250.668442,49.783943,-46.516075,254.495651,-57.749008,-77.761597,252.490524,33.723114,43.097031,252.040543,-44.069584,-40.993511,380.445038,-35.208717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.001769,-0.168956,-0.000315,0.985622,-14.630271,252.425797,-4.589557,22.457676,250.375504,49.935242,-46.024174,254.103012,-58.018948,-77.854767,252.796021,34.131870,42.900173,252.428497,-44.406384,22.613907,250.662888,49.785442,-46.515186,254.491455,-57.748528,-77.756882,252.481964,33.722691,43.096039,252.041702,-44.070274,-40.994293,380.432404,-35.210831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.001779,-0.168956,-0.000355,0.985622,-14.629806,252.429062,-4.591014,22.458031,250.376129,49.933758,-46.023621,254.108490,-58.020382,-77.854233,252.804749,34.130474,42.900600,252.426804,-44.407902,22.613924,250.664566,49.781506,-46.515118,254.498215,-57.750397,-77.758865,252.491592,33.724293,43.099220,252.039856,-44.070869,-40.994820,380.427765,-35.210136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.001778,-0.168958,-0.000311,0.985622,-14.630527,252.427872,-4.590686,22.457197,250.378876,49.934307,-46.024204,254.103897,-58.020245,-77.855194,252.798553,34.130459,42.900093,252.430145,-44.407269,22.612883,250.667328,49.783394,-46.515625,254.493805,-57.749996,-77.759254,252.485031,33.723454,43.098167,252.043152,-44.071468,-40.993683,380.435150,-35.205826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
