date and time,Test num,dtm_13,dtm_24,de_13,de_24,dl,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
7/23/2023 20:56,30,5.445278168,-5.055027008,-17.65917587,-15.2252655,-3.652160645,0.064012881,0.336713338,0.041398406,-0.137391271,-0.010014844,0.022962463,-0.990199892
7/23/2023 20:57,31,4.334537506,-4.434020996,-16.66912842,-13.99932098,-3.541873932,0.064051065,0.334665453,0.04955333,-0.120789818,-0.009494338,0.01997209,-0.992431712
7/23/2023 20:57,32,2.09437561,-4.2081604,-10.92989731,-14.44997025,-3.082201958,0.066869485,0.332613516,0.051632729,-0.1091055,-0.009433728,0.001878554,-0.993983459
7/23/2023 20:57,33,1.476219177,-7.717094421,-10.63433838,-16.18113327,-2.973953247,0.068477161,0.333026707,0.043722757,-0.115178952,-0.006277002,-0.003150948,-0.993319952
7/23/2023 20:57,34,-2.670993805,-5.830757141,-1.017227173,-15.63825226,-3.152971268,0.076424038,0.331421067,0.049153349,-0.097577439,0.001242623,-0.035683606,-0.994587227
7/23/2023 20:57,35,-3.423717499,-5.56987381,-0.057136536,-12.15463257,-3.255016327,0.071088441,0.330354603,0.053461859,-0.084910985,-0.000990401,-0.027825379,-0.995999022
7/23/2023 20:57,36,-2.324073792,-7.622558594,1.588783264,-11.36476135,-3.496067047,0.072259217,0.33046542,0.051038865,-0.085134966,0.000471903,-0.028585799,-0.995958825
7/23/2023 20:57,37,0.663101196,-7.536121368,0.497562408,-9.35679245,-3.418740273,0.076118174,0.329459796,0.057805049,-0.06868661,0.003731067,-0.031772453,-0.997125244
7/23/2023 20:57,38,-1.218009949,-6.867225647,-1.791297913,-6.211582184,-3.310811043,0.073319576,0.328585478,0.061929779,-0.054655328,0.003821509,-0.024241497,-0.998203699
7/23/2023 20:57,39,-0.824947357,-5.010860443,-1.835254669,-6.566062927,-3.340278625,0.070333402,0.327960527,0.066365564,-0.048826324,0.00071688,-0.01974494,-0.998611748
7/23/2023 20:57,40,0.24521637,-7.022483826,-4.059585571,-4.439277649,-3.225280762,0.065650536,0.327860318,0.066282402,-0.047432451,-0.004951462,-0.01118511,-0.998799483
7/23/2023 20:57,41,-2.601226807,-6.115436554,-2.095581055,0.002975464,-3.388611794,0.062186746,0.327117878,0.069839194,-0.029502949,-0.00341783,-0.000234905,-0.999558624
7/23/2023 20:57,42,2.321033478,-4.809661865,-2.879016876,-0.889614105,-3.397831917,0.06195315,0.327099713,0.070116554,-0.029136971,-0.00341017,0.000142132,-0.999569527
7/23/2023 20:57,43,4.286148071,-3.546424866,-5.033786774,2.093307495,-2.333270073,0.061980202,0.326092017,0.084991159,-0.01906838,-0.006058647,0.00503898,-0.999787156
7/23/2023 20:57,44,2.749702454,-2.360569,-5.359191895,0.875766754,-2.303254128,0.060411969,0.325748609,0.088634868,-0.017323255,-0.007477095,0.005621199,-0.999805963
7/23/2023 20:57,45,2.312263489,-2.386367798,-5.282077789,0.953033447,-2.299585342,0.060446086,0.32575358,0.088474822,-0.017302669,-0.007399828,0.005898152,-0.999805013
7/23/2023 20:57,46,3.799118042,-2.808521271,-7.108028412,-2.576637268,-1.202608109,0.063353139,0.324785097,0.08348105,-0.028812629,-0.007955164,0.005771349,-0.99953601
7/23/2023 20:57,47,6.51568222,-3.891956329,-6.186775208,-3.409736633,-0.493364334,0.069876341,0.324379959,0.081107241,-0.031043164,-0.006042098,0.001279722,-0.999497481
7/23/2023 20:57,48,5.549835205,-0.653083801,-4.175930023,-5.366939545,-0.778860092,0.073116616,0.323885781,0.088980291,-0.026063885,-0.004111439,-0.006347309,-0.999631174
7/23/2023 20:57,49,3.04291153,-1.716377258,-1.320953369,-9.683891296,-0.682085037,0.074019213,0.323980494,0.080115981,-0.044391369,-0.001555869,-0.022900172,-0.998750468
7/23/2023 20:57,50,2.540679932,-2.463428497,-0.749801636,-12.66368484,0.008003235,0.075805476,0.323674506,0.073819067,-0.053551198,0.000865227,-0.030890465,-0.998086715
7/23/2023 20:57,51,-1.3070755,-2.252532959,-1.312438965,-8.768432617,-0.289190292,0.068248405,0.322791694,0.077199964,-0.048386555,-0.001610987,-0.022070709,-0.998583448
7/23/2023 20:57,52,-1.30172348,0.466156006,-1.861335754,-11.2261467,-0.568906784,0.066875424,0.322943976,0.075533258,-0.051483093,-0.007350576,-0.020115604,-0.998444192
7/23/2023 20:57,53,-0.63911438,0.441257477,-3.608654022,-11.49760056,-0.931675911,0.063335034,0.323328549,0.070356693,-0.061297427,-0.012262353,-0.012703675,-0.997963377
7/23/2023 20:57,54,-2.925449371,3.038734436,-3.787979126,-14.32921219,-0.254413605,0.059421267,0.324021492,0.076024283,-0.066114467,-0.0115747,-0.013851065,-0.997648764
7/23/2023 20:57,55,-2.660396576,4.410457611,-1.14932251,-13.97269821,0.047588348,0.059647311,0.323990399,0.080685095,-0.062476167,-0.004082584,-0.016478613,-0.997902004
7/23/2023 20:57,56,-2.507728577,6.242835999,-3.364406586,-8.350746155,-0.179540634,0.051244782,0.324106944,0.094803415,-0.043743496,0.000523408,-0.007463639,-0.999014684
7/23/2023 20:58,57,-0.68321228,7.675815582,-5.82793808,-7.633358002,0.797643661,0.046193129,0.323165437,0.102876829,-0.028585324,0.000629608,0.006778227,-0.999567942
7/23/2023 20:58,58,2.26190567,7.660972595,-3.68504715,-8.219436646,0.600914001,0.046434723,0.323183507,0.102892426,-0.028878791,0.002191336,0.006599484,-0.999558719
7/23/2023 20:58,59,3.22864151,9.350067139,-6.345314026,-7.244819641,1.264211655,0.043343991,0.323600878,0.109793747,-0.024691073,0.003076689,0.009429465,-0.999645905
7/23/2023 20:58,60,3.968772888,8.324615479,-8.009906769,-8.390937805,1.509489059,0.044631127,0.323356595,0.109141909,-0.027302374,0.003112075,0.006812415,-0.999599155
7/23/2023 20:58,61,5.216838837,8.803878784,-5.174350739,-8.646244049,1.535108566,0.047605821,0.323404898,0.11015266,-0.02754577,0.003923465,0.006108086,-0.99959416
7/23/2023 20:58,62,3.311225891,8.579147339,1.826358795,-12.99121475,1.814634323,0.05631259,0.323576576,0.106749106,-0.037174998,0.002302627,-0.011522698,-0.999239635
7/23/2023 20:58,63,4.84815979,8.633049011,3.538959503,-11.62638474,2.514509201,0.05898113,0.323212963,0.109114274,-0.037892084,0.001696582,-0.017477109,-0.999127563
7/23/2023 20:58,64,6.015834808,10.37962723,1.056510925,-14.33573151,2.295642853,0.059268211,0.323333349,0.104991699,-0.043038039,0.001713468,-0.019332413,-0.998884892
7/23/2023 20:58,65,8.649543762,10.53675461,0.778514862,-14.24098969,2.184976578,0.070185842,0.323943937,0.11196389,-0.039432509,0.001186443,-0.025893054,-0.998885747
7/23/2023 20:58,66,8.677585602,10.20844269,-1.106643677,-10.70093918,1.381652832,0.070701179,0.324793027,0.118492756,-0.032958331,0.001319948,-0.024617689,-0.999152486
7/23/2023 20:58,67,8.037746429,9.968631744,-1.319919586,-11.9565506,0.930984497,0.069500934,0.324934645,0.115943754,-0.033585049,0.001668866,-0.02404908,-0.999145079
7/23/2023 20:58,68,7.621490479,9.424438477,-2.667877197,-12.04195404,0.509212494,0.068182195,0.325372487,0.112761823,-0.036584083,0.002145384,-0.022436578,-0.999076406
7/23/2023 20:58,69,8.15970993,6.830181122,-3.124328613,-11.64527893,0.095031738,0.072175918,0.325796731,0.112975397,-0.036301284,0.00172357,-0.024344815,-0.999042753
7/23/2023 20:58,70,7.820590973,7.163063049,-7.753890991,-12.85621643,-0.01175499,0.066061603,0.326541601,0.103453682,-0.049056959,-0.00103914,-0.011292751,-0.998731426
7/23/2023 20:58,71,7.982887268,7.458259583,-8.531204224,-9.403274536,-0.2335186,0.063651939,0.326507992,0.105831577,-0.049478484,-0.004700815,-0.005607793,-0.998747098
7/23/2023 20:58,72,9.583942413,4.447948456,-7.087028503,-4.666614532,-1.064833641,0.073077216,0.325981027,0.107289655,-0.027863078,-0.00166525,-0.002388363,-0.999607182
7/23/2023 20:58,73,9.713794708,3.321907043,-7.084106445,-4.416442871,-1.203647614,0.074952858,0.325903193,0.102724051,-0.029033848,-0.00489763,-0.001986889,-0.999563992
7/23/2023 20:58,74,8.993412018,-0.78698349,-3.367630005,-4.426483154,-2.07697773,0.080688819,0.325838327,0.09389528,-0.03066318,-0.00398849,-0.005345966,-0.999507229
