date and time,sample,dtm_13,dtm_24,de_13,de_24,dl,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
25-Jul-2023 04:30:05,1,0,0,0,0,0,0.0540866312881311,0.326533989111582,0.079517517487208,-0.0287350212534269,-0.997013374169668,0.00992827980468671,-0.0709937264521917
25-Jul-2023 04:30:15,2,-1.91360825973715,-0.676385678962423,3.47713363709337,6.32563494297086,1.12669114236823,0.0516983779768149,0.327088312307994,0.086137488981088,-0.0353618082900842,-0.996389627456665,0.0258699885259072,-0.0727124417821566
25-Jul-2023 04:30:17,3,1.84849424331593,-1.31481315469018,-0.513970962935144,9.09610095629592,1.3382701601787,0.0501306002338727,0.3275401810805,0.0890369052688281,-0.0404165183504423,-0.995838848749797,0.0357928422590097,-0.0734194060166677
25-Jul-2023 04:30:19,4,-0.630292035489857,-0.593983190294022,1.09089402011156,10.7439528021776,1.77662336258234,0.0493069730699062,0.327725064754486,0.0901833241184553,-0.0420172805587451,-0.995608433087667,0.0396702075997988,-0.0736527015765508
25-Jul-2023 04:30:21,5,-0.170438859905112,-1.46141500527543,-1.74597011563296,12.5709822838661,1.20125654682807,0.046171369155248,0.328550537427266,0.0936651254693667,-0.049346845348676,-0.994566297531128,0.0536449243625005,-0.0743136857946714
25-Jul-2023 04:30:24,6,0.657544496640044,-0.289621471616084,0.00673891630193165,16.1038686014171,2.09253080633057,0.0450392839809259,0.329813748598099,0.0994595880309741,-0.0576974640289942,-0.992967693010966,0.0657910818854968,-0.0797347515821457
25-Jul-2023 04:30:26,7,2.73716529477959,0.892400644383266,-5.02222496821448,18.7661628567372,2.27738586813048,0.0284030878295501,0.334036117792129,0.108123051126798,-0.0903276572624842,-0.989572286605835,0.0783569271365801,-0.0802343959609668
25-Jul-2023 04:30:29,8,2.76302290284525,1.24631299402434,-2.71637966678513,25.788894513004,2.04445944024533,0.0205306326349576,0.338447749614716,0.119555362562339,-0.110851572950681,-0.983836662769318,0.114176046848297,-0.0821015124519666
25-Jul-2023 04:30:31,9,3.12066184309152,-1.64691241073892,-1.23417863590893,25.8800206557098,1.53982937592661,0.0290346878270308,0.338255417346954,0.112741193672021,-0.103947492937247,-0.984726917743683,0.111912925541401,-0.0835647578040759
25-Jul-2023 04:30:33,10,3.54842955069932,-3.33079833415855,-0.152306331066176,25.0142409931411,1.58315785130332,0.0334295456608137,0.337730886538823,0.109753281871478,-0.095422222216924,-0.985409609476725,0.112544587254524,-0.0848104909062386
25-Jul-2023 04:30:35,11,-2.09261894474955,-0.703623274926114,1.45976675878158,20.6603265564249,1.39738310064788,0.0320480753978093,0.336199865738551,0.102934077878793,-0.0906372378269831,-0.987304457028707,0.101782454550266,-0.0815785616636276
25-Jul-2023 04:30:38,12,-3.68264268357311,-2.22876408263187,0.0112326113981098,23.6021708493677,1.4000791277399,0.0283223231633504,0.336589662233988,0.104226729273796,-0.0915586898724238,-0.987000064055125,0.104134498536587,-0.081263160208861
25-Jul-2023 04:30:40,13,-7.91284994451396,-1.69542952944048,4.51040580667926,28.5781206677072,2.14485734594366,0.0211826875805855,0.338306804498037,0.110522065560023,-0.091621670126915,-0.985702168941498,0.117029092212518,-0.0793774674336116
25-Jul-2023 04:30:42,14,-9.79660547765888,-0.93991523923695,2.39877170379173,24.2623094133834,1.8082801164518,0.0143256558726231,0.338517985741297,0.101705846687158,-0.0983412797252337,-0.986633133888245,0.106723390022914,-0.0741216267148654
25-Jul-2023 04:30:45,15,-7.93351260774862,-2.01770547086481,2.0543910276999,21.855641203457,0.79429163614485,0.0181832451373339,0.338825843731562,0.0984468266367912,-0.0966710855563482,-0.987437609831492,0.101392949124177,-0.0730833227435748
25-Jul-2023 04:30:47,16,-6.90706327811942,1.382107501758,-0.58857533073739,24.2007386115376,0.611894843959091,0.0126213164379199,0.34033197760582,0.107084999978542,-0.101657927532991,-0.986149009068807,0.108917946120103,-0.072887838880221
25-Jul-2023 04:30:49,17,-5.54924629741233,5.26534696847063,-0.632285420814643,20.4690774778943,0.424231896598206,0.01301130335778,0.340714192390442,0.111501168708007,-0.101543173193932,-0.986006089051565,0.109348917007446,-0.0743219549457232
25-Jul-2023 04:30:52,18,-2.27089596041641,6.43689143915253,-0.0795845010049309,20.1404409048452,-0.0535150989864259,0.0167707247038682,0.340971010923386,0.113994705677032,-0.100978702306747,-0.986275704701742,0.107043514152368,-0.0748677968978882
25-Jul-2023 04:30:54,19,-1.78581647362299,5.01273135771843,-5.75619102120322,17.3901852523337,-0.541097361746137,0.0125909736379981,0.342465674877167,0.105721445381641,-0.118689700961113,-0.984680867195129,0.10254929314057,-0.0761573468645414
25-Jul-2023 04:30:56,20,0.13729436052141,2.53202381696648,-6.35667443359846,18.6401557285685,-0.177531894799052,0.0191408153623343,0.341055969397227,0.0996218423048655,-0.115963528553645,-0.985841357707977,0.0944346204400063,-0.0758070662617683
25-Jul-2023 04:30:59,21,-0.972917304542931,3.0905139480653,-3.56206309000092,23.7087145648098,0.389105242300588,0.0227332480251789,0.341531032323837,0.107529534896215,-0.108276317516963,-0.985557850201925,0.103572886188825,-0.0788955767949422
25-Jul-2023 04:31:01,22,-3.39830467439408,1.72965062112541,3.93808682665939,28.1063804594356,0.696332837455633,0.0256257088234027,0.342353367805481,0.116816818714142,-0.101780101656914,-0.983750593662262,0.123510693510373,-0.0812915151317914
