date and time,Repeat num,Test num,dtm_13,dtm_24,de_13,de_24,dl,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
25-Jul-2023 23:50:09,1,1,0,0,0,0,0,0.108624788622061,0.349336097637812,0.0122822829832633,0.0292707487940788,-0.987511805693309,-0.0120217486595114,0.154334316651026
25-Jul-2023 23:50:13,1,2,-11.3706050020654,-3.99993638014094,12.5315472037565,5.32542714971653,-7.15709310943376,0.0778379380702972,0.349147496620814,0.0535836972296238,-0.0583507145444552,-0.985490433375041,0.043108997742335,0.153445356090864
25-Jul-2023 23:50:15,1,3,-5.72373668871256,-9.57956427907998,10.7045542027986,3.65601933609959,-6.72145052105827,0.0884668563803037,0.349182858069738,0.0805614605545998,-0.0636534268657366,-0.985518872737885,0.0481784631808599,0.149598244825999
25-Jul-2023 23:50:18,1,4,-5.36117476658615,-12.7141120977808,-7.00367562495678,2.44829537471419,-4.5946512950079,0.108783823251724,0.345445623000463,0.0712609613935153,-0.0136869484558702,-0.98792933622996,0.00471416382739941,0.154227527976036
25-Jul-2023 23:50:21,1,5,-5.4158201452969,-17.4035925808813,0.384224193751041,4.69493648356116,-1.81234436762124,0.126953294873238,0.343486434221268,0.0856529315312703,-0.0106703709810972,-0.987694565455119,0.0272870020320018,0.153625725706418
25-Jul-2023 23:50:23,1,6,-9.69184975450241,-17.0740764568039,-3.42647803421039,-3.76678231713726,0.28168848115297,0.13478022813797,0.342869595686595,0.0732005074620247,0.0058036472958823,-0.987941718101501,0.0212997504820426,0.153244302670161
25-Jul-2023 23:50:26,1,7,-13.2353333397642,-20.7667957715148,-7.61840889597003,-1.28851079448849,-1.32474471141511,0.154366359114647,0.347899760802587,0.0571602550645669,0.0327922314405441,-0.987390438715617,0.00940651341030995,0.154583409428596
25-Jul-2023 23:50:28,1,8,-9.49850766462454,-25.4067908696349,-3.04656776327115,-4.46946077622345,-2.22155660756903,0.162054299314817,0.350402734676997,0.0730395625034968,0.0424677660067876,-0.986734020709991,0.0293952838828166,0.153909548123678
25-Jul-2023 23:50:31,1,9,-17.1607905129585,-23.2932593232736,-2.85622697515864,-14.0650205843927,1.09363468994668,0.164222440123558,0.351733011007309,0.0582451018194358,0.04626794308424,-0.987045741081238,0.0196874904135863,0.15235229631265
25-Jul-2023 23:50:34,1,10,-11.0786127391555,-19.6515846308895,10.7573499049973,-12.9934582140843,-3.14512447038792,0.156535232067108,0.352938280502955,0.0788270185391108,0.0202316953490178,-0.986700451374054,0.0824550936619441,0.138614931702614
25-Jul-2023 23:50:37,1,11,-7.74221103428535,-27.7590421956145,19.580573982628,-0.0834674884711439,-1.98769457208454,0.158124091227849,0.353207099437714,0.0820238893230756,0.00877711772918701,-0.987093067169189,0.0744070753455162,0.141540310780207
25-Jul-2023 23:50:40,1,12,-1.96331804130186,-15.8754184659432,-1.67591754316322,14.6099277853216,-8.49268503280974,0.107492376863956,0.353160637617111,0.0642751693725586,-0.0617097981274128,-0.98598837852478,-0.00968217899401983,0.154677084088326
25-Jul-2023 23:50:43,1,13,-7.63285040922512,-6.56622489881886,-5.14771011127402,15.5585678720592,-10.8714920788267,0.0759615947802861,0.356740355491638,0.0408376661439737,-0.0679634322722753,-0.984245483080546,-0.0433643721044064,0.157357408603032
25-Jul-2023 23:50:47,1,14,-0.857221346284271,-9.00458883678786,-9.73726362073838,10.1635741379078,-7.99879520483033,0.0779875199000041,0.353888849417369,0.0538728495438894,-0.0354530371725559,-0.986126820246379,-0.048379684984684,0.154778632521629
25-Jul-2023 23:50:49,1,15,-7.25064329611961,2.38472084049348,-4.72163445288976,18.5658308538439,-5.63118594262565,0.0484044015407562,0.352230091889699,0.0387986436486244,-0.0562092040975889,-0.985318557421366,-0.0504447015623252,0.153111819426219
25-Jul-2023 23:50:52,1,16,0.781430432565507,6.26340682727928,-8.98814098546795,15.0771085900942,-5.58280661335529,0.0451478734612465,0.352349483966827,0.0369125512739023,-0.0492176915208499,-0.985061371326447,-0.0572091157237689,0.154786400993665
25-Jul-2023 23:50:55,1,17,7.33914609152505,3.54439442188261,-6.73712194715856,7.0255376665558,-4.76102170051182,0.0448832834760348,0.346947920322418,0.0681138187646866,-0.0102882515018185,-0.989083337783814,-0.0245640290280183,0.14493082066377
25-Jul-2023 23:50:57,1,18,0.486538547473513,8.89150282934038,-16.0311294565802,0.889685033392616,-3.62047144252012,0.0574497289955616,0.346379546324412,0.0423380342622598,0.0346930858989557,-0.988579507668813,-0.0398851866523425,0.141124173998833
25-Jul-2023 23:51:00,1,19,1.26752915143486,3.61507403507938,-11.7424123262271,-1.59308852361798,-3.99755653952498,0.0720751638213793,0.344221657514572,0.0505895939966043,0.0453967275718848,-0.988299083709717,-0.0288611700137456,0.142727009455363
25-Jul-2023 23:51:02,1,20,-1.25076353993085,7.24914426638643,-7.20508279170161,-7.18846576714183,-1.75111687018789,0.0713862031698227,0.341147913535436,0.0584368514517943,0.0531783026953538,-0.988346234957377,0.011523202744623,0.142165407538414
25-Jul-2023 23:51:05,1,21,-3.10355120352,4.73485400785286,-8.93405521731919,-2.89750703355669,-0.268449075690719,0.068981837729613,0.337401328484217,0.0488878431419532,0.0355327385167281,-0.989127298196157,-0.000810175346365819,0.142702534794807
25-Jul-2023 23:51:07,1,22,-1.69028803138785,5.20367800290461,-7.2739362693462,-12.5436155768468,0.90959400051719,0.082224781314532,0.337523247798284,0.0616520712773005,0.0733963072299957,-0.986304827531179,0.0306310594081879,0.1444904088974
