date and time,Trajectory,Waypoint,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
25-Jan-2025 11:07:30,170,1,-0.000155023249681108,0.328546625375748,0.0424400734404723,-0.0123175814126929,-0.00596381776655714,-0.0190283211568991,0.999725306034088,-8.47500000000001,-12.675,-5.70000000000001,-6.07500000000001,-11.4,-6.22500000000001,-5.77500000000001,-6.30000000000001,-9.075
25-Jan-2025 11:07:41,48,2,0.010919989955922,0.330766522884369,0.0451262598236402,-0.0159521595885356,-0.0063640454163154,0.00937107757975658,0.999808593591054,-7.43261988568344,-13.3638165468042,-5.80456326964525,-5.47425342669279,-9.00157528642727,-4.78594517185639,-11.513651483955,-13.007163944961,-12.1887348460745
25-Jan-2025 11:08:13,199,3,0.00153853152878582,0.339129155874252,0.0454218891759713,-0.0272022585074107,-0.00620457533126076,-0.0337141734858354,0.999042022228241,-22.2440229458659,-20.7209635586052,-10.8435287170881,-14.9538554980497,-18.6680200258467,-10.8483120155081,-14.6178838772323,-15.6416418347541,-16.1601136098642
25-Jan-2025 11:08:25,283,4,-0.0186843540519476,0.338802186648051,0.0310588927318652,0.0753947089115779,-0.00504786421855291,-0.114106746514638,0.990590616067251,-15.1279009753726,-16.8316017045047,-7.88433262037512,-31.9714567628115,-14.612454650982,-7.8060166908126,1.81564439754566,-2.52275400175311,-8.58615240105183
25-Jan-2025 11:08:56,98,5,-0.0133012710760037,0.347588749726613,0.0281340826302767,0.0757910867532094,-0.00687817422052224,-0.083014984925588,0.993638229370117,-23.295230766114,-26.6544252954583,-14.3447183084246,-39.3544810350961,-25.0309493546452,-18.2486171558829,-13.7167945196888,-16.2687075499947,-13.1924745299968
25-Jan-2025 11:09:08,315,6,-0.00261095378858348,0.352910196781158,0.0457336202263832,-0.0790291796127955,-0.00379859100406369,0.039855845272541,0.996068000793457,-36.44508883964,-29.0948300024846,-14.7428486969505,-16.8867010305508,-27.7904829406138,-18.8063128280131,-39.1669733626112,-8.04798082462464,-8.26003849477476
25-Jan-2025 11:09:42,30,7,-0.00537748423715432,0.352164572477341,0.0455178069571654,0.0786599467198054,-0.00714848485464851,-0.0707245036959648,0.994363943735758,-26.0003717746963,-39.85380757438,-20.754165878561,-43.1818518651887,6.6428268183172,-16.8511789090095,-18.9545878059463,-29.8496757198827,-19.0473975927684
25-Jan-2025 11:09:54,158,8,0.0295165856679281,0.342710663874944,0.0444278918206692,-0.0679056356350581,-0.0160819564014673,0.0092773279796044,0.997519000371297,-23.1763632199232,-3.34612946944156,-2.53052440734109,-7.04591480700426,-1.56382283421623,-20.9847013165255,-21.9307540022748,-37.3727343988135,-22.8391245134831
25-Jan-2025 11:10:35,2,9,-0.00727642119551698,0.362844530741374,0.0329818730552991,0.0684145788351695,-0.00720861507579684,0.0117145926381151,0.997562185923259,-31.637599851868,-38.9043287107337,-21.3049254428773,-49.2611731685896,-35.4529860956014,-25.5394281121084,-42.7729840654312,-22.6758997896649,-17.6508523737989
25-Jan-2025 11:10:47,89,10,-0.0245818934092919,0.370318092902501,0.0389732671280702,-0.0504458725452423,0.0044110167461137,-0.0542755427459876,0.997241187095642,-56.5071890402016,-53.8326469820236,-29.9140788562446,-40.3996579214907,-56.2402132942841,-37.0780342164924,-39.4037013775108,-34.1258574254326,-24.5208269552595
25-Jan-2025 11:11:25,1,11,-0.00577542756994565,0.364615970849991,0.0716446136434873,-0.173025588194529,0.0134465722988049,0.0451101787388325,0.983791859944661,-58.9592658033593,-48.0375405364782,-28.1047341368871,-16.2209408725647,-30.9934244195604,-21.0627719302254,-52.8644258737184,-26.6756109967506,-18.3038326334793
