dtm_13,dtm_24,de_13,de_24,dl
-3.001922607421875000e+00,-3.914871215820312500e+00,3.637313842773437500e-02,5.125492095947265625e+00,4.018161773681640625e+00
-3.074028015136718750e+00,-3.377685546875000000e+00,-2.803802490234375000e-02,4.480930328369140625e+00,3.944110870361328125e+00
-3.406787872314453125e+00,-1.881675720214843750e-01,-2.925987243652343750e-01,3.907310485839843750e+00,3.930761337280273438e+00
-3.417049407958984375e+00,2.596122741699218750e+00,-6.808891296386718750e-01,-3.963081359863281250e+00,4.718935012817382812e+00
-4.644111633300781250e+00,4.088478088378906250e+00,4.931354522705078125e+00,-3.671207427978515625e+00,4.807130813598632812e+00
-3.374118804931640625e+00,3.234828948974609375e+00,4.406562805175781250e+00,8.683242797851562500e-01,3.279705047607421875e+00
-3.152751922607421875e+00,3.593105316162109375e+00,6.396892547607421875e+00,7.025604248046875000e-01,3.501066207885742188e+00
-3.158485412597656250e+00,1.728290557861328125e+00,5.567752838134765625e+00,-2.456253051757812500e+00,3.412500381469726562e+00
-2.619033813476562500e+00,-7.723579406738281250e-01,7.555515289306640625e+00,-1.865531921386718750e+00,3.163198471069335938e+00
-3.590602874755859375e+00,-9.839096069335937500e-01,8.985237121582031250e+00,-1.740940093994140625e+00,3.271053314208984375e+00
-3.816047668457031250e+00,-2.369525909423828125e+00,1.059930038452148438e+01,2.670974731445312500e-01,3.665964126586914062e+00
-7.562164306640625000e+00,-3.556365966796875000e+00,9.159442901611328125e+00,1.787292480468750000e+00,4.590347290039062500e+00
-6.879257202148437500e+00,-1.733993530273437500e+00,9.502582550048828125e+00,1.271415710449218750e+00,4.322196960449218750e+00
-7.136848449707031250e+00,-5.390510559082031250e-01,7.986404418945312500e+00,-9.308700561523437500e-01,6.072885513305664062e+00
-6.300392150878906250e+00,-4.037502288818359375e+00,6.896514892578125000e+00,-1.459686279296875000e+00,5.908002853393554688e+00
-1.318347549438476562e+01,-6.466621398925781250e+00,9.010242462158203125e+00,-6.145359039306640625e+00,8.205154418945312500e+00
-1.301991653442382812e+01,-5.844528198242187500e+00,1.256934356689453125e+01,-5.494522094726562500e+00,8.729141235351562500e+00
-1.252906799316406250e+01,-5.107555389404296875e+00,1.511318588256835938e+01,4.299888610839843750e-01,7.772083282470703125e+00
-8.240921020507812500e+00,-4.958995819091796875e+00,2.119343948364257812e+01,-1.729251861572265625e+00,8.987493515014648438e+00
-4.751983642578125000e+00,-8.770679473876953125e+00,1.992042922973632812e+01,-4.591320037841796875e+00,9.819604873657226562e+00
-4.999496459960937500e+00,-6.926795959472656250e+00,1.567527389526367188e+01,-4.615608215332031250e+00,7.778066635131835938e+00
-1.402023315429687500e+00,-6.485988616943359375e+00,1.549319076538085938e+01,-6.005897521972656250e-01,5.778451919555664062e+00
-4.960365295410156250e-01,-6.166007995605468750e+00,1.954806137084960938e+01,2.002838134765625000e+00,5.460426330566406250e+00
1.273010253906250000e+00,-6.706226348876953125e+00,1.843601608276367188e+01,-2.819900512695312500e-01,4.879564285278320312e+00
3.645095825195312500e-01,-7.292015075683593750e+00,1.646183395385742188e+01,-2.725696563720703125e+00,4.415292739868164062e+00
5.429077148437500000e-02,-8.595920562744140625e+00,1.703307723999023438e+01,-3.249752044677734375e+00,4.842523574829101562e+00
-3.378238677978515625e+00,-9.263385772705078125e+00,1.827153396606445312e+01,-7.768875122070312500e+00,7.356016159057617188e+00
-5.628913879394531250e+00,-1.177518844604492188e+01,2.012697982788085938e+01,-4.535427093505859375e+00,8.315420150756835938e+00
-3.414123535156250000e+00,-1.112337112426757812e+01,1.828337478637695312e+01,-2.189846038818359375e+00,7.425590515136718750e+00
-1.812953948974609375e+00,-1.076071929931640625e+01,1.623102188110351562e+01,1.644012451171875000e+00,6.713586807250976562e+00
2.010307312011718750e-01,-1.060933685302734375e+01,1.145825958251953125e+01,-1.191841125488281250e+00,5.064014434814453125e+00
-4.876518249511718750e-01,-8.273246765136718750e+00,7.470108032226562500e+00,5.510547637939453125e+00,4.698427200317382812e+00
-1.062721252441406250e+00,-7.031929016113281250e+00,5.962444305419921875e+00,-2.052318572998046875e+00,4.099565505981445312e+00
-1.671028137207031250e-01,-3.977466583251953125e+00,-4.332122802734375000e-01,-3.781894683837890625e+00,3.032585144042968750e+00
-9.244918823242187500e-02,-5.228790283203125000e+00,1.685035705566406250e+00,-5.076786041259765625e+00,3.486534118652343750e+00
1.124725341796875000e+00,-5.465007781982421875e+00,3.609714508056640625e+00,-5.362419128417968750e+00,4.463258743286132812e+00
-9.904098510742187500e-02,-6.895748138427734375e+00,4.182357788085937500e+00,-6.790721893310546875e+00,6.307138442993164062e+00
1.902595520019531250e+00,-3.829551696777343750e+00,2.037956237792968750e+00,-8.951484680175781250e+00,6.354711532592773438e+00
1.756916046142578125e+00,-5.578845977783203125e+00,1.073760986328125000e-01,-1.004643630981445312e+01,6.906726837158203125e+00
1.453289031982421875e+00,-1.303271102905273438e+01,-9.693527221679687500e-02,-1.143153381347656250e+01,8.697956085205078125e+00
1.349113464355468750e+00,-1.447554779052734375e+01,-8.436965942382812500e-01,-1.725048065185546875e+01,1.042920875549316406e+01
1.172367095947265625e+00,-1.613488388061523438e+01,2.104618072509765625e+00,-1.891598892211914062e+01,1.204546737670898438e+01
-4.081375122070312500e+00,-1.616787719726562500e+01,-4.556812286376953125e+00,-2.000582885742187500e+01,1.225916290283203125e+01
